"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"07/17/2024","119","Ozone","Leonia","34-003-0006","AQS","8","119","19","63","40"
"07/18/2024","64","Ozone","Monmouth University","34-025-0005","AQS","6","64",".","55","32"
"07/19/2024","58","Ozone","BABYLON","36-103-0002","AQS","7","58",".","38","29"
"07/20/2024","61","Ozone","PFIZER LAB SITE","36-005-0133","AQS","8","61",".","56","27"
"07/21/2024","93","Ozone","Bayonne","34-017-0006","AQS","7","93",".","57","29"
"07/22/2024","53","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","46",".","53","34"
"07/23/2024","50","PM2.5","PS 19","36-061-0128","AQS","7","49","11","50","29"
"07/24/2024","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","46",".","56","26"
"07/25/2024","57","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","6","51",".","57","25"
"07/26/2024","49","Ozone","Monmouth University","34-025-0005","AQS","5","49",".","42","31"
"07/27/2024","62","PM2.5","PS 274","36-047-0118","AQS","7","54",".","62","42"
"07/28/2024","77","Ozone","Rutgers University","34-023-0011","AQS","7","77",".","71","30"
"07/29/2024","119","Ozone","Ramapo","34-031-5001","AQS","7","119","25","79","37"
"07/30/2024","84","Ozone","MILLBROOK","36-027-0007","AQS","6","84",".","70","29"
"07/31/2024","58","Ozone","IS 52","36-005-0110","AQS","6","58",".","54","34"
"08/01/2024","136","Ozone","Colliers Mills","34-029-0006","AQS","8","136",".","66","44"
"08/02/2024","105","Ozone","WHITE PLAINS","36-119-2004","AQS","9","105",".","72","48"
"08/03/2024","74","Ozone","Flax Pond","36-103-0044","AQS","7","74",".","56","23"
"08/04/2024","53","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","7","42","13","53","32"
"08/05/2024","101","Ozone","Leonia","34-003-0006","AQS","8","101",".","63","42"
"08/06/2024","74","Ozone","IS 52","36-005-0110","AQS","7","74",".","59","27"
