"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2025","56","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","56"
"01/02/2025","52","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","52"
"01/03/2025","17","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","17"
"01/04/2025","47","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","47"
"01/05/2025","53","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","53"
"01/06/2025","28","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","28"
"01/07/2025","48","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","48"
"01/08/2025","49","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","49"
"01/09/2025","48","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","48"
"01/10/2025","27","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","27"
"01/11/2025","11","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","11"
"01/12/2025","42","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","42"
"01/13/2025","51","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","51"
"01/14/2025","55","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","55"
"01/15/2025","60","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AirNow",".","60"
"01/16/2025","48","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","48"
"01/17/2025","52","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","52"
"01/18/2025","46","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","46"
"01/19/2025","55","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","55"
"01/20/2025","52","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","52"
"01/21/2025","59","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","59"
"01/22/2025","63","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","63"
"01/23/2025","67","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","67"
"01/24/2025","60","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","60"
"01/25/2025","55","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","55"
"01/26/2025","53","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","53"
"01/27/2025","57","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","57"
"01/28/2025","58","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","58"
"01/29/2025","66","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","66"
"01/30/2025","78","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","78"
"01/31/2025","66","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","66"
"02/01/2025","31","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","31"
"02/02/2025","49","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","49"
"02/03/2025","37","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","37"
"02/04/2025","26","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","26"
"02/05/2025","31","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","31"
"02/06/2025","36","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","36"
"02/07/2025","26","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","26"
"02/08/2025","44","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","44"
"02/09/2025","50","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","50"
"02/10/2025","35","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","35"
"02/11/2025","44","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","44"
"02/12/2025","44","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","44"
"02/13/2025","50","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","50"
"02/14/2025","43","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","43"
"02/15/2025","52","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","52"
"02/16/2025","71","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","71"
"02/17/2025","69","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","69"
"02/18/2025","61","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","61"
"02/19/2025","33","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","33"
"02/20/2025","28","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","28"
"02/21/2025","42","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","42"
"02/22/2025","60","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","60"
"02/23/2025","32","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","32"
"02/24/2025","14","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","14"
"02/25/2025","10","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","10"
"02/26/2025","24","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","24"
"02/27/2025","53","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","53"
"02/28/2025","44","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","44"
"03/01/2025","49","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","49"
"03/02/2025","35","PM2.5","Hermiston - Municipal Airport (HMA)","41-059-1003","AQS",".","35"
"03/03/2025","12","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","12"
"03/04/2025","18","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","18"
"03/05/2025","24","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","24"
"03/06/2025","32","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","32"
"03/07/2025","34","PM2.5","Pendleton - McKay Creek (PMC)","41-059-0121","AQS",".","34"
