"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2025","29","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","29"
"01/02/2025","43","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","43"
"01/03/2025","36","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","36"
"01/04/2025","22","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","22"
"01/05/2025","21","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","21"
"01/06/2025","18","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","18"
"01/07/2025","23","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","23"
"01/08/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","44"
"01/09/2025","54","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","54"
"01/10/2025","31","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","31"
"01/11/2025","43","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","43"
"01/12/2025","34","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","34"
"01/13/2025","28","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","28"
"01/14/2025","23","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","23"
"01/15/2025","25","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","25"
"01/16/2025","26","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","26"
"01/17/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","38"
"01/18/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","38"
"01/19/2025","20","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","20"
"01/20/2025","17","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","17"
"01/21/2025","20","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","20"
"01/22/2025","19","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","19"
"01/23/2025","24","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","24"
"01/24/2025","26","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","26"
