"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/25/2025","22","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","22"
"01/26/2025","27","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","27"
"01/27/2025","39","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","39"
"01/28/2025","50","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","50"
"01/29/2025","59","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","59"
"01/30/2025","30","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","30"
"01/31/2025","30","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","30"
"02/01/2025","24","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","24"
"02/02/2025","31","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","31"
"02/03/2025","31","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","31"
"02/04/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","53"
"02/05/2025","67","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","67"
"02/06/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","48"
"02/07/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","44"
"02/08/2025","42","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","42"
"02/09/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","38"
"02/10/2025","56","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","56"
"02/11/2025","26","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","26"
"02/12/2025","8","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","8"
"02/13/2025","45","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","45"
"02/14/2025","39","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","39"
"02/15/2025","26","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","26"
"02/16/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","44"
"02/17/2025","30","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","30"
"02/18/2025","36","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","36"
"02/19/2025","28","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","28"
"02/20/2025","21","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","21"
"02/21/2025","22","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","22"
"02/22/2025","37","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","37"
"02/23/2025","28","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","28"
"02/24/2025","36","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","36"
"02/25/2025","29","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","29"
"02/26/2025","18","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","18"
"02/27/2025","21","PM2.5","Cleveland Delta State","28-011-0002","AQS",".","21"
"02/28/2025","62","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","62"
"03/01/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS","43","44"
"03/02/2025","40","Ozone","Cleveland Delta State","28-011-0002","AQS","40","28"
"03/03/2025","43","PM2.5","Cleveland Delta State","28-011-0002","AQS","39","43"
"03/04/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AQS","42","53"
"03/05/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","15"
"03/06/2025","43","Ozone","Cleveland Delta State","28-011-0002","AQS","43","12"
"03/07/2025","44","Ozone","Cleveland Delta State","28-011-0002","AQS","44","18"
"03/08/2025","33","Ozone","Cleveland Delta State","28-011-0002","AQS","33","28"
"03/09/2025","33","Ozone","Cleveland Delta State","28-011-0002","AQS","33","22"
"03/10/2025","48","Ozone","Cleveland Delta State","28-011-0002","AQS","48","42"
"03/11/2025","61","Ozone","Cleveland Delta State","28-011-0002","AQS","61","34"
"03/12/2025","43","Ozone","Cleveland Delta State","28-011-0002","AQS","43","41"
"03/13/2025","54","PM2.5","Cleveland Delta State","28-011-0002","AQS","41","54"
"03/14/2025","64","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","64"
"03/15/2025","88","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","88"
"03/16/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","26"
"03/17/2025","44","Ozone","Cleveland Delta State","28-011-0002","AQS","44","19"
"03/18/2025","54","Ozone","Cleveland Delta State","28-011-0002","AQS","54","19"
"03/19/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS","43","48"
"03/20/2025","39","Ozone","Cleveland Delta State","28-011-0002","AQS","39","18"
"03/21/2025","45","Ozone","Cleveland Delta State","28-011-0002","AQS","45","31"
"03/22/2025","58","Ozone","Cleveland Delta State","28-011-0002","AQS","58","41"
"03/23/2025","50","PM2.5","Cleveland Delta State","28-011-0002","AQS","39","50"
"03/24/2025","47","Ozone","Cleveland Delta State","28-011-0002","AQS","47","18"
"03/25/2025","46","Ozone","Cleveland Delta State","28-011-0002","AQS","46","27"
"03/26/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS","36","38"
"03/27/2025","55","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","55"
"03/28/2025","58","PM2.5","Cleveland Delta State","28-011-0002","AQS","51","58"
"03/29/2025","40","Ozone","Cleveland Delta State","28-011-0002","AQS","40","38"
"03/30/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AQS","32","53"
"03/31/2025","32","Ozone","Cleveland Delta State","28-011-0002","AQS","32","25"
"04/01/2025","42","PM2.5","Cleveland Delta State","28-011-0002","AQS","32","42"
"04/02/2025","34","PM2.5","Cleveland Delta State","28-011-0002","AQS","26","34"
"04/03/2025","39","PM2.5","Cleveland Delta State","28-011-0002","AQS","30","39"
"04/04/2025","49","PM2.5","Cleveland Delta State","28-011-0002","AQS","29","49"
"04/05/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","38"
"04/06/2025","36","Ozone","Cleveland Delta State","28-011-0002","AQS","36","7"
"04/07/2025","47","Ozone","Cleveland Delta State","28-011-0002","AQS","47","19"
"04/08/2025","50","Ozone","Cleveland Delta State","28-011-0002","AQS","50","23"
"04/09/2025","54","Ozone","Cleveland Delta State","28-011-0002","AQS","54","34"
"04/10/2025","74","Ozone","Cleveland Delta State","28-011-0002","AQS","74","58"
"04/11/2025","86","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","86"
"04/12/2025","61","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","61"
"04/13/2025","58","Ozone","Cleveland Delta State","28-011-0002","AQS","58","56"
"04/14/2025","59","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","59"
"04/15/2025","46","Ozone","Cleveland Delta State","28-011-0002","AQS","46","39"
"04/16/2025","62","PM2.5","Cleveland Delta State","28-011-0002","AQS","61","62"
"04/17/2025","58","PM2.5","Cleveland Delta State","28-011-0002","AQS","51","58"
"04/18/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","46","52"
"04/19/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AQS","45","53"
"04/20/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AQS","37","53"
"04/21/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","26"
"04/22/2025","39","Ozone","Cleveland Delta State","28-011-0002","AQS","39","33"
"04/23/2025","40","PM2.5","Cleveland Delta State","28-011-0002","AQS","39","40"
"04/24/2025","31","Ozone","Cleveland Delta State","28-011-0002","AQS","31","29"
"04/25/2025","38","Ozone","Cleveland Delta State","28-011-0002","AQS","38","37"
"04/26/2025","45","Ozone","Cleveland Delta State","28-011-0002","AQS","45","35"
"04/27/2025","41","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","41"
"04/28/2025","42","Ozone","Cleveland Delta State","28-011-0002","AQS","42","41"
"04/29/2025","37","PM2.5","Cleveland Delta State","28-011-0002","AQS","36","37"
"04/30/2025","45","Ozone","Cleveland Delta State","28-011-0002","AQS","45","43"
"05/01/2025","47","Ozone","Cleveland Delta State","28-011-0002","AQS","47","26"
"05/02/2025","43","Ozone","Cleveland Delta State","28-011-0002","AQS","43","35"
"05/03/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","19"
"05/04/2025","42","Ozone","Cleveland Delta State","28-011-0002","AQS","42","16"
"05/05/2025","45","Ozone","Cleveland Delta State","28-011-0002","AQS","45","22"
"05/06/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","31"
"05/07/2025","33","Ozone","Cleveland Delta State","28-011-0002","AQS","33","28"
"05/08/2025","44","Ozone","Cleveland Delta State","28-011-0002","AQS","44","24"
"05/09/2025","45","Ozone","Cleveland Delta State","28-011-0002","AQS","45","26"
"05/10/2025","37","Ozone","Cleveland Delta State","28-011-0002","AQS","37","33"
"05/11/2025","33","Ozone","Cleveland Delta State","28-011-0002","AQS","33","20"
"05/12/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","18"
"05/13/2025","45","Ozone","Cleveland Delta State","28-011-0002","AQS","45","28"
"05/14/2025","51","Ozone","Cleveland Delta State","28-011-0002","AQS","51","39"
"05/15/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","51"
"05/16/2025","42","PM2.5","Cleveland Delta State","28-011-0002","AQS","32","42"
"05/17/2025","58","Ozone","Cleveland Delta State","28-011-0002","AQS","58","41"
"05/18/2025","42","Ozone","Cleveland Delta State","28-011-0002","AQS","42","28"
"05/19/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS","25","48"
"05/20/2025","49","PM2.5","Cleveland Delta State","28-011-0002","AQS","32","49"
"05/21/2025","49","Ozone","Cleveland Delta State","28-011-0002","AQS","49","18"
"05/22/2025","54","Ozone","Cleveland Delta State","28-011-0002","AQS","54","21"
"05/23/2025","48","Ozone","Cleveland Delta State","28-011-0002","AQS","48","21"
"05/24/2025","30","Ozone","Cleveland Delta State","28-011-0002","AQS","30","28"
"05/25/2025","46","Ozone","Cleveland Delta State","28-011-0002","AQS","46","41"
"05/26/2025","36","Ozone","Cleveland Delta State","28-011-0002","AQS","36","20"
"05/27/2025","26","Ozone","Cleveland Delta State","28-011-0002","AQS","26","14"
"05/28/2025","32","Ozone","Cleveland Delta State","28-011-0002","AQS","32","17"
"05/29/2025","43","Ozone","Cleveland Delta State","28-011-0002","AQS","43","18"
"05/30/2025","43","Ozone","Cleveland Delta State","28-011-0002","AQS","43","22"
"05/31/2025","47","Ozone","Cleveland Delta State","28-011-0002","AQS","47","27"
"06/01/2025","44","Ozone","Cleveland Delta State","28-011-0002","AQS","44","33"
"06/02/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS","47","48"
"06/03/2025","59","PM2.5","Cleveland Delta State","28-011-0002","AQS","49","59"
"06/04/2025","54","PM2.5","Cleveland Delta State","28-011-0002","AQS","37","54"
"06/05/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS","42","48"
"06/06/2025","41","PM2.5","Cleveland Delta State","28-011-0002","AQS","37","41"
"06/07/2025","55","PM2.5","Cleveland Delta State","28-011-0002","AQS","34","55"
"06/08/2025","45","Ozone","Cleveland Delta State","28-011-0002","AQS","45","33"
"06/09/2025","43","Ozone","Cleveland Delta State","28-011-0002","AQS","43","22"
"06/10/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","50","51"
"06/11/2025","61","PM2.5","Cleveland Delta State","28-011-0002","AQS","51","61"
"06/12/2025","31","Ozone","Cleveland Delta State","28-011-0002","AQS","31","20"
"06/13/2025","26","Ozone","Cleveland Delta State","28-011-0002","AQS","26","23"
"06/14/2025","42","PM2.5","Cleveland Delta State","28-011-0002","AQS","26","42"
"06/15/2025","32","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","32"
"06/16/2025","31","Ozone","Cleveland Delta State","28-011-0002","AQS","31","23"
"06/17/2025","31","Ozone","Cleveland Delta State","28-011-0002","AQS","31","28"
"06/18/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","21","52"
"06/19/2025","32","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","32"
"06/20/2025","49","PM2.5","Cleveland Delta State","28-011-0002","AQS","24","49"
"06/21/2025","56","PM2.5","Cleveland Delta State","28-011-0002","AQS","27","56"
"06/22/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","32","51"
"06/23/2025","38","Ozone","Cleveland Delta State","28-011-0002","AQS","38","30"
"06/24/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","26"
"06/25/2025","38","Ozone","Cleveland Delta State","28-011-0002","AirNow","38","27"
"06/26/2025","37","Ozone","Cleveland Delta State","28-011-0002","AirNow","37","31"
"06/27/2025","36","Ozone","Cleveland Delta State","28-011-0002","AirNow","36","32"
"06/28/2025","42","Ozone","Cleveland Delta State","28-011-0002","AirNow","42","."
"06/29/2025","36","Ozone","Cleveland Delta State","28-011-0002","AirNow","36","."
"07/01/2025","40","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","40"
"07/02/2025","49","Ozone","Cleveland Delta State","28-011-0002","AQS","49","26"
"07/03/2025","49","Ozone","Cleveland Delta State","28-011-0002","AQS","49","34"
"07/04/2025","54","Ozone","Cleveland Delta State","28-011-0002","AQS","54","53"
"07/05/2025","55","PM2.5","Cleveland Delta State","28-011-0002","AQS","50","55"
"07/06/2025","54","Ozone","Cleveland Delta State","28-011-0002","AQS","54","52"
"07/07/2025","47","PM2.5","Cleveland Delta State","28-011-0002","AQS","41","47"
"07/08/2025","46","PM2.5","Cleveland Delta State","28-011-0002","AQS","32","46"
"07/09/2025","33","PM2.5","Cleveland Delta State","28-011-0002","AQS","32","33"
"07/10/2025","33","Ozone","Cleveland Delta State","28-011-0002","AQS","33","25"
"07/11/2025","45","PM2.5","Cleveland Delta State","28-011-0002","AQS","33","45"
"07/12/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS","25","44"
"07/13/2025","25","Ozone","Cleveland Delta State","28-011-0002","AQS","25","22"
"07/14/2025","31","Ozone","Cleveland Delta State","28-011-0002","AQS","31","26"
"07/15/2025","36","PM2.5","Cleveland Delta State","28-011-0002","AQS","34","36"
"07/16/2025","49","PM2.5","Cleveland Delta State","28-011-0002","AQS","36","49"
"07/17/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS","34","44"
"07/18/2025","33","Ozone","Cleveland Delta State","28-011-0002","AQS","33","21"
"07/19/2025","43","PM2.5","Cleveland Delta State","28-011-0002","AQS","30","43"
"07/20/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS","29","38"
"07/21/2025","43","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","43"
"07/22/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","52"
"07/23/2025","50","PM2.5","Cleveland Delta State","28-011-0002","AQS","35","50"
"07/24/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","34","51"
"07/25/2025","34","Ozone","Cleveland Delta State","28-011-0002","AQS","34","26"
"07/26/2025","29","Ozone","Cleveland Delta State","28-011-0002","AQS","29","18"
"07/27/2025","27","Ozone","Cleveland Delta State","28-011-0002","AQS","27","25"
"07/28/2025","39","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","39"
"07/29/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS","35","44"
"07/30/2025","50","Ozone","Cleveland Delta State","28-011-0002","AQS","50","43"
"07/31/2025","48","Ozone","Cleveland Delta State","28-011-0002","AQS","48","46"
"08/01/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","39"
"08/02/2025","57","PM2.5","Cleveland Delta State","28-011-0002","AQS","45","57"
"08/03/2025","62","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","62"
"08/04/2025","50","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","50"
"08/05/2025","41","Ozone","Cleveland Delta State","28-011-0002","AQS","41","39"
"08/06/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","44"
"08/07/2025","49","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","49"
"08/08/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS","35","48"
"08/09/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS","33","38"
"08/10/2025","46","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","46"
"08/11/2025","36","PM2.5","Cleveland Delta State","28-011-0002","AQS","33","36"
"08/12/2025","42","PM2.5","Cleveland Delta State","28-011-0002","AQS","34","42"
"08/13/2025","45","PM2.5","Cleveland Delta State","28-011-0002","AQS","37","45"
"08/14/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","47","51"
"08/15/2025","46","PM2.5","Cleveland Delta State","28-011-0002","AQS","46","46"
"08/16/2025","61","PM2.5","Cleveland Delta State","28-011-0002","AQS","47","61"
"08/17/2025","54","PM2.5","Cleveland Delta State","28-011-0002","AQS","47","54"
"08/18/2025","55","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","55"
"08/19/2025","56","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","56"
"08/20/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AQS","51","53"
"08/21/2025","48","Ozone","Cleveland Delta State","28-011-0002","AQS","48","29"
"08/22/2025","47","Ozone","Cleveland Delta State","28-011-0002","AQS","47","36"
"08/23/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","51"
"08/24/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","47","51"
"08/25/2025","47","PM2.5","Cleveland Delta State","28-011-0002","AQS","39","47"
"08/26/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","33","52"
"08/27/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","45","52"
"08/28/2025","36","PM2.5","Cleveland Delta State","28-011-0002","AQS","26","36"
"08/29/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","43","51"
"08/30/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS","47","48"
"08/31/2025","47","PM2.5","Cleveland Delta State","28-011-0002","AQS","46","47"
"09/01/2025","44","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","44"
"09/02/2025","57","PM2.5","Cleveland Delta State","28-011-0002","AQS","41","57"
"09/03/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","41","52"
"09/04/2025","55","PM2.5","Cleveland Delta State","28-011-0002","AQS","46","55"
"09/05/2025","57","PM2.5","Cleveland Delta State","28-011-0002","AQS","54","57"
"09/06/2025","61","PM2.5","Cleveland Delta State","28-011-0002","AQS","25","61"
"09/07/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","45","52"
"09/08/2025","44","Ozone","Cleveland Delta State","28-011-0002","AQS","44","42"
"09/09/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","52"
"09/10/2025","60","PM2.5","Cleveland Delta State","28-011-0002","AQS","40","60"
"09/11/2025","60","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","60"
"09/12/2025","71","PM2.5","Cleveland Delta State","28-011-0002","AQS","58","71"
"09/13/2025","67","PM2.5","Cleveland Delta State","28-011-0002","AQS","61","67"
"09/14/2025","65","PM2.5","Cleveland Delta State","28-011-0002","AQS","61","65"
"09/15/2025","80","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","80"
"09/16/2025","80","PM2.5","Cleveland Delta State","28-011-0002","AQS","51","80"
"09/17/2025","64","PM2.5","Cleveland Delta State","28-011-0002","AQS","64","64"
"09/18/2025","67","PM2.5","Cleveland Delta State","28-011-0002","AQS","54","67"
"09/19/2025","64","PM2.5","Cleveland Delta State","28-011-0002","AQS","44","64"
"09/20/2025","61","PM2.5","Cleveland Delta State","28-011-0002","AQS","54","61"
"09/21/2025","61","PM2.5","Cleveland Delta State","28-011-0002","AQS","49","61"
"09/22/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","42","52"
"09/23/2025","43","PM2.5","Cleveland Delta State","28-011-0002","AQS","35","43"
"09/24/2025","23","Ozone","Cleveland Delta State","28-011-0002","AQS","23","17"
"09/25/2025","32","Ozone","Cleveland Delta State","28-011-0002","AQS","32","31"
"09/26/2025","47","Ozone","Cleveland Delta State","28-011-0002","AQS","47","29"
"09/27/2025","58","Ozone","Cleveland Delta State","28-011-0002","AQS","58","32"
"09/28/2025","50","Ozone","Cleveland Delta State","28-011-0002","AQS","50","36"
"09/29/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AQS","47","51"
"09/30/2025","54","Ozone","Cleveland Delta State","28-011-0002","AQS","54","53"
"10/01/2025","56","PM2.5","Cleveland Delta State","28-011-0002","AQS","45","56"
"10/02/2025","58","PM2.5","Cleveland Delta State","28-011-0002","AQS","49","58"
"10/03/2025","55","PM2.5","Cleveland Delta State","28-011-0002","AQS","42","55"
"10/04/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AQS","36","52"
"10/05/2025","32","Ozone","Cleveland Delta State","28-011-0002","AQS","32","31"
"10/06/2025","22","PM2.5","Cleveland Delta State","28-011-0002","AQS","21","22"
"10/07/2025","27","Ozone","Cleveland Delta State","28-011-0002","AQS","27","22"
"10/08/2025","37","Ozone","Cleveland Delta State","28-011-0002","AQS","37","31"
"10/09/2025","44","Ozone","Cleveland Delta State","28-011-0002","AQS","44","20"
"10/10/2025","42","Ozone","Cleveland Delta State","28-011-0002","AQS","42","36"
"10/11/2025","48","Ozone","Cleveland Delta State","28-011-0002","AQS","48","43"
"10/12/2025","49","Ozone","Cleveland Delta State","28-011-0002","AQS","49","42"
"10/13/2025","51","Ozone","Cleveland Delta State","28-011-0002","AQS","51","45"
"10/14/2025","46","Ozone","Cleveland Delta State","28-011-0002","AQS","46","36"
"10/15/2025","38","Ozone","Cleveland Delta State","28-011-0002","AQS","38","24"
"10/16/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AQS","48","53"
"10/17/2025","55","PM2.5","Cleveland Delta State","28-011-0002","AQS","50","55"
"10/18/2025","38","PM2.5","Cleveland Delta State","28-011-0002","AQS","38","38"
"10/21/2025","35","Ozone","Cleveland Delta State","28-011-0002","AQS","35","27"
"10/22/2025","37","Ozone","Cleveland Delta State","28-011-0002","AQS","37","21"
"10/23/2025","43","Ozone","Cleveland Delta State","28-011-0002","AQS","43","19"
"10/24/2025","41","PM2.5","Cleveland Delta State","28-011-0002","AQS","36","41"
"10/25/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AQS","36","48"
"10/26/2025","32","PM2.5","Cleveland Delta State","28-011-0002","AQS","31","32"
"10/27/2025","23","PM2.5","Cleveland Delta State","28-011-0002","AQS","19","23"
"10/28/2025","29","PM2.5","Cleveland Delta State","28-011-0002","AQS","27","29"
"10/29/2025","27","Ozone","Cleveland Delta State","28-011-0002","AQS","27","9"
"10/30/2025","31","Ozone","Cleveland Delta State","28-011-0002","AQS","31","23"
"10/31/2025","34","Ozone","Cleveland Delta State","28-011-0002","AQS","34","31"
"11/01/2025","27","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","27"
"11/02/2025","18","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","18"
"11/03/2025","25","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","25"
"11/04/2025","29","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","29"
"11/05/2025","46","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","46"
"11/06/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","52"
"11/07/2025","54","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","54"
"11/08/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","53"
"11/09/2025","20","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","20"
"11/10/2025","17","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","17"
"11/11/2025","17","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","17"
"11/12/2025","37","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","37"
"11/13/2025","53","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","53"
"11/14/2025","34","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","34"
"11/15/2025","34","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","34"
"11/16/2025","34","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","34"
"11/17/2025","36","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","36"
"11/18/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","51"
"11/19/2025","51","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","51"
"11/20/2025","48","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","48"
"11/21/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","52"
"11/22/2025","46","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","46"
"11/23/2025","43","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","43"
"11/24/2025","52","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","52"
"11/25/2025","25","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","25"
"11/26/2025","28","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","28"
"11/27/2025","13","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","13"
"11/28/2025","17","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","17"
"11/29/2025","22","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","22"
"11/30/2025","23","PM2.5","Cleveland Delta State","28-011-0002","AirNow",".","23"
