"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"06/06/2025","43","PM2.5","CROSSVILLE","01-049-1003","AQS","35","43"
"06/07/2025","45","PM2.5","CROSSVILLE","01-049-1003","AQS","34","45"
"06/08/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","25"
"06/09/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","30"
"06/10/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","33"
"06/11/2025","53","PM2.5","CROSSVILLE","01-049-1003","AQS","46","53"
"06/12/2025","50","PM2.5","CROSSVILLE","01-049-1003","AQS","32","50"
"06/13/2025","27","PM2.5","CROSSVILLE","01-049-1003","AQS","25","27"
"06/14/2025","27","PM2.5","CROSSVILLE","01-049-1003","AQS","25","27"
"06/15/2025","33","PM2.5","CROSSVILLE","01-049-1003","AQS","28","33"
"06/16/2025","32","PM2.5","CROSSVILLE","01-049-1003","AQS","31","32"
"06/17/2025","26","PM2.5","CROSSVILLE","01-049-1003","AQS","26","26"
"06/18/2025","31","PM2.5","CROSSVILLE","01-049-1003","AQS","30","31"
"06/19/2025","50","Ozone","Sand Mountain","01-049-9991","AQS","50","20"
"06/20/2025","43","Ozone","Sand Mountain","01-049-9991","AQS","43","28"
"06/21/2025","48","PM2.5","CROSSVILLE","01-049-1003","AQS","32","48"
"06/22/2025","44","PM2.5","CROSSVILLE","01-049-1003","AQS","35","44"
"06/23/2025","54","PM2.5","CROSSVILLE","01-049-1003","AQS","44","54"
"06/24/2025","60","PM2.5","CROSSVILLE","01-049-1003","AQS",".","60"
"06/25/2025","59","PM2.5","CROSSVILLE","01-049-1003","AQS","42","59"
"06/26/2025","42","Ozone","Sand Mountain","01-049-9991","AQS","42","41"
"06/27/2025","49","PM2.5","CROSSVILLE","01-049-1003","AQS","40","49"
"06/28/2025","43","Ozone","Sand Mountain","01-049-9991","AQS","43","28"
"06/29/2025","33","PM2.5","CROSSVILLE","01-049-1003","AQS","32","33"
"06/30/2025","38","PM2.5","CROSSVILLE","01-049-1003","AQS","31","38"
"07/01/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","32"
"07/02/2025","46","Ozone","Sand Mountain","01-049-9991","AQS","46","23"
"07/03/2025","61","Ozone","Sand Mountain","01-049-9991","AQS","61","44"
"07/04/2025","51","Ozone","Sand Mountain","01-049-9991","AQS","51","48"
"07/05/2025","53","PM2.5","CROSSVILLE","01-049-1003","AQS","47","53"
"07/06/2025","51","PM2.5","CROSSVILLE","01-049-1003","AQS","44","51"
"07/07/2025","57","PM2.5","CROSSVILLE","01-049-1003","AQS","43","57"
"07/08/2025","57","PM2.5","CROSSVILLE","01-049-1003","AQS","37","57"
"07/09/2025","39","PM2.5","CROSSVILLE","01-049-1003","AQS","39","39"
"07/10/2025","32","Ozone","Sand Mountain","01-049-9991","AQS","32","28"
"07/11/2025","35","PM2.5","CROSSVILLE","01-049-1003","AQS","35","35"
"07/12/2025","56","PM2.5","CROSSVILLE","01-049-1003","AQS","25","56"
"07/13/2025","42","PM2.5","CROSSVILLE","01-049-1003","AQS","25","42"
"07/14/2025","33","PM2.5","CROSSVILLE","01-049-1003","AQS","32","33"
"07/15/2025","34","PM2.5","CROSSVILLE","01-049-1003","AQS","31","34"
"07/16/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","37"
"07/17/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","24"
"07/18/2025","30","Ozone","Sand Mountain","01-049-9991","AQS","30","17"
"07/19/2025","48","PM2.5","CROSSVILLE","01-049-1003","AQS","29","48"
"07/20/2025","48","PM2.5","CROSSVILLE","01-049-1003","AQS","29","48"
"07/21/2025","52","PM2.5","CROSSVILLE","01-049-1003","AQS","26","52"
"07/22/2025","38","PM2.5","CROSSVILLE","01-049-1003","AQS","32","38"
"07/23/2025","43","Ozone","Sand Mountain","01-049-9991","AQS","43","42"
"07/24/2025","49","PM2.5","CROSSVILLE","01-049-1003","AQS","49","49"
"07/25/2025","29","Ozone","Sand Mountain","01-049-9991","AQS","29","28"
"07/26/2025","26","Ozone","Sand Mountain","01-049-9991","AQS","26","24"
"07/27/2025","28","Ozone","Sand Mountain","01-049-9991","AQS","28","18"
"07/28/2025","38","PM2.5","CROSSVILLE","01-049-1003","AQS","37","38"
"07/29/2025","47","PM2.5","CROSSVILLE","01-049-1003","AQS","40","47"
"07/30/2025","46","Ozone","Sand Mountain","01-049-9991","AQS","46","34"
"07/31/2025","48","PM2.5","CROSSVILLE","01-049-1003","AQS","40","48"
"08/01/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","37"
"08/02/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","30"
"08/03/2025","25","Ozone","Sand Mountain","01-049-9991","AQS","25","12"
"08/04/2025","30","Ozone","Sand Mountain","01-049-9991","AQS","30","29"
"08/05/2025","26","Ozone","Sand Mountain","01-049-9991","AQS","26","21"
"08/06/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","25"
"08/07/2025","37","Ozone","Sand Mountain","01-049-9991","AQS","37","28"
"08/08/2025","40","Ozone","Sand Mountain","01-049-9991","AQS","40","39"
"08/09/2025","55","PM2.5","CROSSVILLE","01-049-1003","AQS","38","55"
"08/10/2025","41","PM2.5","CROSSVILLE","01-049-1003","AQS","29","41"
"08/11/2025","24","Ozone","Sand Mountain","01-049-9991","AQS","24","20"
"08/12/2025","17","Ozone","Sand Mountain","01-049-9991","AQS","17","9"
"08/13/2025","24","Ozone","Sand Mountain","01-049-9991","AQS","24","10"
"08/14/2025","34","Ozone","Sand Mountain","01-049-9991","AQS","34","16"
"08/15/2025","36","PM2.5","CROSSVILLE","01-049-1003","AQS","33","36"
"08/16/2025","37","PM2.5","CROSSVILLE","01-049-1003","AQS",".","37"
"08/17/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","36"
"08/18/2025","41","Ozone","Sand Mountain","01-049-9991","AQS","41","38"
"08/19/2025","49","PM2.5","CROSSVILLE","01-049-1003","AQS","43","49"
"08/20/2025","42","Ozone","Sand Mountain","01-049-9991","AQS","42","41"
"08/21/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","29"
"08/22/2025","53","PM2.5","CROSSVILLE","01-049-1003","AQS","42","53"
"08/23/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","29"
"08/24/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","27"
"08/25/2025","34","Ozone","Sand Mountain","01-049-9991","AQS","34","29"
"08/26/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","22"
"08/27/2025","42","Ozone","Sand Mountain","01-049-9991","AQS","42","15"
"08/28/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","22"
"08/29/2025","46","Ozone","Sand Mountain","01-049-9991","AQS","46","23"
"08/30/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","24"
"08/31/2025","44","PM2.5","CROSSVILLE","01-049-1003","AQS","42","44"
"09/01/2025","51","PM2.5","CROSSVILLE","01-049-1003","AirNow","40","51"
"09/02/2025","41","Ozone","Sand Mountain","01-049-9991","AirNow","41","40"
"09/03/2025","45","Ozone","Sand Mountain","01-049-9991","AirNow","45","44"
"09/04/2025","52","PM2.5","CROSSVILLE","01-049-1003","AirNow","45","52"
"09/05/2025","58","PM2.5","CROSSVILLE","01-049-1003","AirNow","47","58"
"09/06/2025","35","Ozone","Sand Mountain","01-049-9991","AirNow","35","29"
"09/07/2025","36","Ozone","Sand Mountain","01-049-9991","AirNow","36","20"
"09/08/2025","41","Ozone","Sand Mountain","01-049-9991","AirNow","41","27"
"09/09/2025","45","Ozone","Sand Mountain","01-049-9991","AirNow","45","30"
"09/10/2025","50","Ozone","Sand Mountain","01-049-9991","AirNow","50","36"
"09/11/2025","48","Ozone","Sand Mountain","01-049-9991","AirNow","48","42"
"09/12/2025","58","Ozone","Sand Mountain","01-049-9991","AirNow","58","46"
"09/13/2025","50","Ozone","Sand Mountain","01-049-9991","AirNow","50","34"
"09/14/2025","51","Ozone","Sand Mountain","01-049-9991","AirNow","51","40"
"09/15/2025","51","Ozone","Sand Mountain","01-049-9991","AirNow","51","49"
"09/16/2025","71","Ozone","Sand Mountain","01-049-9991","AirNow","71","52"
"09/17/2025","54","PM2.5","CROSSVILLE","01-049-1003","AirNow","50","54"
"09/18/2025","87","Ozone","Sand Mountain","01-049-9991","AirNow","87","44"
"09/19/2025","77","Ozone","Sand Mountain","01-049-9991","AirNow","77","52"
"09/20/2025","80","Ozone","Sand Mountain","01-049-9991","AirNow","80","56"
"09/21/2025","56","PM2.5","CROSSVILLE","01-049-1003","AirNow","44","56"
"09/22/2025","54","PM2.5","CROSSVILLE","01-049-1003","AirNow","41","54"
"09/23/2025","56","PM2.5","CROSSVILLE","01-049-1003","AirNow","43","56"
"09/24/2025","43","PM2.5","CROSSVILLE","01-049-1003","AirNow","33","43"
"09/25/2025","31","Ozone","Sand Mountain","01-049-9991","AirNow","31","18"
"09/26/2025","36","Ozone","Sand Mountain","01-049-9991","AirNow","36","14"
"09/27/2025","38","Ozone","Sand Mountain","01-049-9991","AirNow","38","19"
"09/28/2025","43","Ozone","Sand Mountain","01-049-9991","AirNow","43","20"
"09/29/2025","43","Ozone","Sand Mountain","01-049-9991","AirNow","43","25"
"09/30/2025","34","Ozone","Sand Mountain","01-049-9991","AirNow","34","22"
"10/01/2025","36","Ozone","Sand Mountain","01-049-9991","AirNow","36","17"
"10/02/2025","48","PM2.5","CROSSVILLE","01-049-1003","AirNow","45","48"
"10/03/2025","37","Ozone","Sand Mountain","01-049-9991","AirNow","37","27"
"10/04/2025","34","Ozone","Sand Mountain","01-049-9991","AirNow","34","29"
"10/05/2025","31","Ozone","Sand Mountain","01-049-9991","AirNow","31","19"
"10/06/2025","28","Ozone","Sand Mountain","01-049-9991","AirNow","28","18"
"10/07/2025","28","Ozone","Sand Mountain","01-049-9991","AirNow","28","23"
"10/08/2025","32","Ozone","Sand Mountain","01-049-9991","AirNow","32","21"
"10/09/2025","40","Ozone","Sand Mountain","01-049-9991","AirNow","40","16"
"10/10/2025","39","Ozone","Sand Mountain","01-049-9991","AirNow","39","23"
"10/11/2025","44","Ozone","Sand Mountain","01-049-9991","AirNow","44","18"
"10/12/2025","44","Ozone","Sand Mountain","01-049-9991","AirNow","44","14"
"10/13/2025","43","Ozone","Sand Mountain","01-049-9991","AirNow","43","17"
"10/14/2025","47","Ozone","Sand Mountain","01-049-9991","AirNow","47","16"
"10/15/2025","49","Ozone","Sand Mountain","01-049-9991","AirNow","49","16"
"10/16/2025","47","Ozone","Sand Mountain","01-049-9991","AirNow","47","6"
"10/17/2025","49","Ozone","Sand Mountain","01-049-9991","AirNow","49","31"
"10/18/2025","55","PM2.5","CROSSVILLE","01-049-1003","AirNow","43","55"
"10/19/2025","36","Ozone","Sand Mountain","01-049-9991","AirNow","36","12"
"10/20/2025","37","Ozone","Sand Mountain","01-049-9991","AirNow","37","7"
"10/21/2025","35","PM2.5","CROSSVILLE","01-049-1003","AirNow","31","35"
"10/22/2025","38","Ozone","Sand Mountain","01-049-9991","AirNow","38","19"
"10/23/2025","44","Ozone","Sand Mountain","01-049-9991","AirNow","44","16"
"10/24/2025","37","Ozone","Sand Mountain","01-049-9991","AirNow","37","13"
"10/25/2025","49","Ozone","Sand Mountain","01-049-9991","AirNow","49","24"
"10/26/2025","34","Ozone","Sand Mountain","01-049-9991","AirNow","34","22"
"10/27/2025","26","Ozone","Sand Mountain","01-049-9991","AirNow","26","4"
"10/28/2025","27","Ozone","Sand Mountain","01-049-9991","AirNow","27","."
"10/29/2025","22","Ozone","Sand Mountain","01-049-9991","AirNow","22","0"
"10/30/2025","25","Ozone","Sand Mountain","01-049-9991","AirNow","25","."
"10/31/2025","34","Ozone","Sand Mountain","01-049-9991","AirNow","34","."
"11/01/2025","33","Ozone","Sand Mountain","01-049-9991","AirNow","33","."
"11/02/2025","29","Ozone","Sand Mountain","01-049-9991","AirNow","29","."
"11/03/2025","31","Ozone","Sand Mountain","01-049-9991","AirNow","31","."
"11/04/2025","35","Ozone","Sand Mountain","01-049-9991","AirNow","35","31"
"11/05/2025","52","PM2.5","CROSSVILLE","01-049-1003","AirNow","45","52"
"11/06/2025","56","PM2.5","CROSSVILLE","01-049-1003","AirNow","50","56"
"11/07/2025","58","PM2.5","CROSSVILLE","01-049-1003","AirNow","39","58"
"11/08/2025","53","PM2.5","CROSSVILLE","01-049-1003","AirNow","35","53"
"11/09/2025","39","PM2.5","CROSSVILLE","01-049-1003","AirNow","28","39"
"11/10/2025","28","Ozone","Sand Mountain","01-049-9991","AirNow","28","8"
"11/11/2025","31","Ozone","Sand Mountain","01-049-9991","AirNow","31","23"
"11/12/2025","54","PM2.5","CROSSVILLE","01-049-1003","AirNow","41","54"
"11/13/2025","55","PM2.5","CROSSVILLE","01-049-1003","AirNow","43","55"
"11/14/2025","54","PM2.5","CROSSVILLE","01-049-1003","AirNow","50","54"
"11/15/2025","54","PM2.5","CROSSVILLE","01-049-1003","AirNow","44","54"
"11/16/2025","40","Ozone","Sand Mountain","01-049-9991","AirNow","40","34"
"11/17/2025","38","Ozone","Sand Mountain","01-049-9991","AirNow","38","9"
"11/18/2025","44","Ozone","Sand Mountain","01-049-9991","AirNow","44","38"
"11/19/2025","62","PM2.5","CROSSVILLE","01-049-1003","AirNow","26","62"
"11/20/2025","59","PM2.5","CROSSVILLE","01-049-1003","AirNow","28","59"
"11/21/2025","57","PM2.5","CROSSVILLE","01-049-1003","AirNow","26","57"
"11/22/2025","44","PM2.5","CROSSVILLE","01-049-1003","AirNow","33","44"
"11/23/2025","35","Ozone","Sand Mountain","01-049-9991","AirNow","35","26"
"11/24/2025","44","PM2.5","CROSSVILLE","01-049-1003","AirNow","37","44"
"11/25/2025","37","PM2.5","CROSSVILLE","01-049-1003","AirNow","24","37"
"11/26/2025","33","Ozone","Sand Mountain","01-049-9991","AirNow","33","19"
"11/27/2025","33","Ozone","Sand Mountain","01-049-9991","AirNow","33","9"
"11/28/2025","33","Ozone","Sand Mountain","01-049-9991","AirNow","33","16"
"11/29/2025","34","Ozone","Sand Mountain","01-049-9991","AirNow","34","26"
"11/30/2025","25","PM2.5","CROSSVILLE","01-049-1003","AirNow","25","25"
"12/01/2025","23","PM2.5","CROSSVILLE","01-049-1003","AirNow","17","23"
"12/02/2025","25","Ozone","Sand Mountain","01-049-9991","AirNow","25","9"
"12/03/2025","37","PM2.5","CROSSVILLE","01-049-1003","AirNow","25","37"
"12/04/2025","48","PM2.5","CROSSVILLE","01-049-1003","AirNow","19","48"
"12/05/2025","21","Ozone","Sand Mountain","01-049-9991","AirNow","21","19"
"12/06/2025","38","PM2.5","CROSSVILLE","01-049-1003","AirNow","22","38"
