"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2025","29","Ozone","Sand Mountain","01-049-9991","AQS","29","16"
"01/02/2025","34","Ozone","Sand Mountain","01-049-9991","AQS","34","22"
"01/03/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","19"
"01/04/2025","33","Ozone","Sand Mountain","01-049-9991","AQS","33","6"
"01/05/2025","32","Ozone","Sand Mountain","01-049-9991","AQS","32","20"
"01/06/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","12"
"01/07/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","11"
"01/08/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","23"
"01/09/2025","38","PM2.5","CROSSVILLE","01-049-1003","AQS","36","38"
"01/10/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","27"
"01/11/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","19"
"01/12/2025","32","Ozone","Sand Mountain","01-049-9991","AQS","32","29"
"01/13/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","27"
"01/14/2025","17","PM2.5","CROSSVILLE","01-049-1003","AQS",".","17"
"01/15/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","27"
"01/16/2025","41","Ozone","Sand Mountain","01-049-9991","AQS","41","35"
"01/17/2025","39","Ozone","Sand Mountain","01-049-9991","AQS","39","21"
"01/18/2025","46","PM2.5","CROSSVILLE","01-049-1003","AQS","34","46"
"01/19/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","18"
"01/20/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","1"
"01/21/2025","32","Ozone","Sand Mountain","01-049-9991","AQS","32","7"
"01/22/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","18"
"01/23/2025","39","Ozone","Sand Mountain","01-049-9991","AQS","39","24"
"01/24/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","22"
"01/25/2025","43","Ozone","Sand Mountain","01-049-9991","AQS","43","32"
"01/26/2025","41","PM2.5","CROSSVILLE","01-049-1003","AQS","35","41"
"01/27/2025","37","PM2.5","CROSSVILLE","01-049-1003","AQS","29","37"
"01/28/2025","47","PM2.5","CROSSVILLE","01-049-1003","AQS","37","47"
"01/29/2025","43","Ozone","Sand Mountain","01-049-9991","AQS","43","41"
"01/30/2025","43","PM2.5","CROSSVILLE","01-049-1003","AQS","37","43"
"01/31/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","21"
"02/01/2025","32","Ozone","Sand Mountain","01-049-9991","AQS","32","28"
"02/02/2025","40","Ozone","Sand Mountain","01-049-9991","AQS","40","28"
"02/03/2025","45","Ozone","Sand Mountain","01-049-9991","AQS","45","41"
"02/04/2025","55","PM2.5","CROSSVILLE","01-049-1003","AQS","38","55"
"02/05/2025","56","PM2.5","CROSSVILLE","01-049-1003","AQS","32","56"
"02/06/2025","42","PM2.5","CROSSVILLE","01-049-1003","AQS","22","42"
"02/07/2025","28","Ozone","Sand Mountain","01-049-9991","AQS","28","19"
"02/08/2025","41","PM2.5","CROSSVILLE","01-049-1003","AQS","27","41"
"02/09/2025","24","PM2.5","CROSSVILLE","01-049-1003","AQS","22","24"
"02/10/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","19"
"02/11/2025","20","Ozone","Sand Mountain","01-049-9991","AQS","20","19"
"02/12/2025","17","Ozone","Sand Mountain","01-049-9991","AQS","17","0"
"02/13/2025","24","Ozone","Sand Mountain","01-049-9991","AQS","24","20"
"02/14/2025","32","Ozone","Sand Mountain","01-049-9991","AQS","32","27"
"02/15/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","22"
"02/16/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","17"
"02/17/2025","39","Ozone","Sand Mountain","01-049-9991","AQS","39","36"
"02/18/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","24"
"02/19/2025","33","Ozone","Sand Mountain","01-049-9991","AQS","33","32"
"02/20/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","26"
"02/21/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","16"
"02/22/2025","52","PM2.5","CROSSVILLE","01-049-1003","AQS","37","52"
"02/23/2025","57","PM2.5","CROSSVILLE","01-049-1003","AQS","42","57"
"02/24/2025","47","PM2.5","CROSSVILLE","01-049-1003","AQS","45","47"
"02/25/2025","51","Ozone","Sand Mountain","01-049-9991","AQS","51","44"
"02/26/2025","51","Ozone","Sand Mountain","01-049-9991","AQS","51","49"
"02/27/2025","44","PM2.5","CROSSVILLE","01-049-1003","AQS","44","44"
"02/28/2025","47","Ozone","Sand Mountain","01-049-9991","AQS","47","29"
"03/01/2025","54","PM2.5","CROSSVILLE","01-049-1003","AQS","45","54"
"03/02/2025","43","Ozone","Sand Mountain","01-049-9991","AQS","43","12"
"03/03/2025","47","Ozone","Sand Mountain","01-049-9991","AQS","47","13"
"03/04/2025","52","PM2.5","CROSSVILLE","01-049-1003","AQS","47","52"
"03/05/2025","41","Ozone","Sand Mountain","01-049-9991","AQS","41","17"
"03/06/2025","40","Ozone","Sand Mountain","01-049-9991","AQS","40","9"
"03/07/2025","47","Ozone","Sand Mountain","01-049-9991","AQS","47","39"
"03/08/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","36"
"03/09/2025","39","Ozone","Sand Mountain","01-049-9991","AQS","39","15"
"03/10/2025","49","Ozone","Sand Mountain","01-049-9991","AQS","49","19"
"03/11/2025","64","Ozone","Sand Mountain","01-049-9991","AQS","64","43"
"03/12/2025","93","Ozone","Sand Mountain","01-049-9991","AQS","93","55"
"03/13/2025","58","PM2.5","CROSSVILLE","01-049-1003","AQS","46","58"
"03/14/2025","39","PM2.5","CROSSVILLE","01-049-1003","AQS","38","39"
"03/15/2025","39","PM2.5","CROSSVILLE","01-049-1003","AQS","36","39"
"03/16/2025","44","PM2.5","CROSSVILLE","01-049-1003","AQS","38","44"
"03/17/2025","40","Ozone","Sand Mountain","01-049-9991","AQS","40","14"
"03/18/2025","54","Ozone","Sand Mountain","01-049-9991","AQS","54","33"
"03/19/2025","52","PM2.5","CROSSVILLE","01-049-1003","AQS","45","52"
"03/20/2025","34","Ozone","Sand Mountain","01-049-9991","AQS","34","11"
"03/21/2025","46","Ozone","Sand Mountain","01-049-9991","AQS","46","24"
"03/22/2025","49","Ozone","Sand Mountain","01-049-9991","AQS","49","48"
"03/23/2025","61","Ozone","Sand Mountain","01-049-9991","AQS","61","49"
"03/24/2025","46","Ozone","Sand Mountain","01-049-9991","AQS","46","12"
"03/25/2025","47","Ozone","Sand Mountain","01-049-9991","AQS","47","23"
"03/26/2025","51","Ozone","Sand Mountain","01-049-9991","AQS","51","19"
"03/27/2025","71","Ozone","Sand Mountain","01-049-9991","AQS","71","31"
"03/28/2025","77","Ozone","Sand Mountain","01-049-9991","AQS","77","72"
"03/29/2025","66","PM2.5","CROSSVILLE","01-049-1003","AQS","44","66"
"03/30/2025","52","PM2.5","CROSSVILLE","01-049-1003","AQS","36","52"
"03/31/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","17"
"04/01/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","19"
"04/02/2025","38","PM2.5","CROSSVILLE","01-049-1003","AQS","28","38"
"04/03/2025","33","PM2.5","CROSSVILLE","01-049-1003","AQS","28","33"
"04/04/2025","41","PM2.5","CROSSVILLE","01-049-1003","AQS","31","41"
"04/05/2025","43","PM2.5","CROSSVILLE","01-049-1003","AQS","34","43"
"04/06/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","7"
"04/07/2025","28","Ozone","Sand Mountain","01-049-9991","AQS","28","6"
"04/08/2025","48","Ozone","Sand Mountain","01-049-9991","AQS","48","29"
"04/09/2025","54","Ozone","Sand Mountain","01-049-9991","AQS","54","19"
"04/10/2025","74","Ozone","Sand Mountain","01-049-9991","AQS","74","43"
"04/11/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","33"
"04/12/2025","46","Ozone","Sand Mountain","01-049-9991","AQS","46","32"
"04/13/2025","50","Ozone","Sand Mountain","01-049-9991","AQS","50","26"
"04/14/2025","80","Ozone","Sand Mountain","01-049-9991","AQS","80","54"
"04/15/2025","48","Ozone","Sand Mountain","01-049-9991","AQS","48","29"
"04/16/2025","51","Ozone","Sand Mountain","01-049-9991","AQS","51","27"
"04/17/2025","67","Ozone","Sand Mountain","01-049-9991","AQS","67","50"
"04/18/2025","93","Ozone","Sand Mountain","01-049-9991","AQS","93","59"
"04/19/2025","54","PM2.5","CROSSVILLE","01-049-1003","AQS","51","54"
"04/20/2025","54","PM2.5","CROSSVILLE","01-049-1003","AQS","43","54"
"04/21/2025","55","PM2.5","CROSSVILLE","01-049-1003","AQS","38","55"
"04/22/2025","31","Ozone","Sand Mountain","01-049-9991","AQS","31","29"
"04/23/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","31"
"04/24/2025","51","PM2.5","CROSSVILLE","01-049-1003","AQS","31","51"
"04/25/2025","45","PM2.5","CROSSVILLE","01-049-1003","AQS","42","45"
"04/26/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","32"
"04/27/2025","43","Ozone","Sand Mountain","01-049-9991","AQS","43","29"
"04/28/2025","47","PM2.5","CROSSVILLE","01-049-1003","AQS","43","47"
"04/29/2025","55","PM2.5","CROSSVILLE","01-049-1003","AQS","31","55"
"04/30/2025","55","PM2.5","CROSSVILLE","01-049-1003","AQS","41","55"
"05/01/2025","47","PM2.5","CROSSVILLE","01-049-1003","AQS","41","47"
"05/02/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","36"
"05/03/2025","37","Ozone","Sand Mountain","01-049-9991","AQS","37","8"
"05/04/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","17"
"05/05/2025","41","Ozone","Sand Mountain","01-049-9991","AQS","41","14"
"05/06/2025","45","Ozone","Sand Mountain","01-049-9991","AQS","45","23"
"05/07/2025","47","PM2.5","CROSSVILLE","01-049-1003","AQS","33","47"
"05/08/2025","45","PM2.5","CROSSVILLE","01-049-1003","AQS","40","45"
"05/09/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","29"
"05/10/2025","37","Ozone","Sand Mountain","01-049-9991","AQS","37","22"
"05/11/2025","39","Ozone","Sand Mountain","01-049-9991","AQS","39","12"
"05/12/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","10"
"05/13/2025","38","Ozone","Sand Mountain","01-049-9991","AQS","38","28"
"05/14/2025","49","Ozone","Sand Mountain","01-049-9991","AQS","49","45"
"05/15/2025","48","PM2.5","CROSSVILLE","01-049-1003","AQS","44","48"
"05/16/2025","51","PM2.5","CROSSVILLE","01-049-1003","AQS","29","51"
"05/17/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","41"
"05/18/2025","40","PM2.5","CROSSVILLE","01-049-1003","AQS","39","40"
"05/19/2025","46","PM2.5","CROSSVILLE","01-049-1003","AQS","31","46"
"05/20/2025","48","PM2.5","CROSSVILLE","01-049-1003","AQS","31","48"
"05/21/2025","45","Ozone","Sand Mountain","01-049-9991","AQS","45","18"
"05/22/2025","50","Ozone","Sand Mountain","01-049-9991","AQS","50","19"
"05/23/2025","45","Ozone","Sand Mountain","01-049-9991","AQS","45","23"
"05/24/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","25"
"05/25/2025","35","Ozone","Sand Mountain","01-049-9991","AQS","35","25"
"05/26/2025","37","Ozone","Sand Mountain","01-049-9991","AQS","37","12"
"05/27/2025","19","Ozone","Sand Mountain","01-049-9991","AQS","19","9"
"05/28/2025","34","Ozone","Sand Mountain","01-049-9991","AQS","34","14"
"05/29/2025","36","Ozone","Sand Mountain","01-049-9991","AQS","36","20"
"05/30/2025","44","Ozone","Sand Mountain","01-049-9991","AQS","44","19"
"05/31/2025","61","Ozone","Sand Mountain","01-049-9991","AQS","61","45"
"06/01/2025","61","Ozone","Sand Mountain","01-049-9991","AQS","61","59"
"06/02/2025","56","PM2.5","CROSSVILLE","01-049-1003","AQS","44","56"
"06/03/2025","68","PM2.5","CROSSVILLE","01-049-1003","AQS","50","68"
"06/04/2025","62","PM2.5","CROSSVILLE","01-049-1003","AQS","49","62"
"06/05/2025","54","PM2.5","CROSSVILLE","01-049-1003","AQS","33","54"
