"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"10/13/2025","13","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","13"
"10/14/2025","18","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","18"
"10/15/2025","22","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","22"
"10/16/2025","26","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","26"
"10/17/2025","32","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","32"
"10/18/2025","34","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","34"
"10/19/2025","17","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","17"
"10/20/2025","19","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","19"
"10/21/2025","27","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","27"
"10/22/2025","42","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","42"
"10/23/2025","43","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","43"
"10/24/2025","57","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","57"
"10/25/2025","22","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","22"
"10/26/2025","17","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","17"
"10/27/2025","18","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","18"
"10/28/2025","34","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","34"
"10/29/2025","46","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","46"
"10/30/2025","55","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","55"
"10/31/2025","57","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","57"
"11/01/2025","54","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","54"
"11/02/2025","20","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","20"
"11/03/2025","27","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","27"
"11/04/2025","39","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","39"
"11/05/2025","52","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","52"
"11/06/2025","25","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","25"
"11/07/2025","22","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","22"
"11/08/2025","44","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","44"
"11/09/2025","49","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","49"
"11/10/2025","44","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","44"
"11/11/2025","52","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","52"
"11/12/2025","59","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","59"
"11/13/2025","67","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","67"
"11/14/2025","47","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","47"
"11/15/2025","41","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","41"
"11/16/2025","57","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","57"
"11/17/2025","41","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","41"
"11/18/2025","36","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","36"
"11/19/2025","53","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","53"
"11/20/2025","49","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","49"
"11/21/2025","58","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","58"
"11/22/2025","63","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","63"
"11/23/2025","32","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","32"
"11/24/2025","19","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","19"
"11/25/2025","32","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","32"
"11/26/2025","46","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","46"
"11/27/2025","44","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","44"
"11/28/2025","23","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","23"
"11/29/2025","34","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","34"
"11/30/2025","46","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","46"
"12/01/2025","56","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","56"
"12/02/2025","43","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","43"
"12/03/2025","56","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","56"
"12/04/2025","45","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","45"
"12/05/2025","30","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","30"
"12/06/2025","18","PM2.5","The Dalles - Cherry Heights Road (TDC)","41-065-0007","AirNow","18"
