"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2025","31","Ozone","North Birmingham","01-073-0023","AQS","2","31","6","24","10"
"01/02/2025","54","PM2.5","North Birmingham","01-073-0023","AQS","11","30","19","54","37"
"01/03/2025","59","PM2.5","North Birmingham","01-073-0023","AQS","13","33","22","59","31"
"01/04/2025","48","PM2.5","North Birmingham","01-073-0023","AQS","5","31","14","48","32"
"01/05/2025","42","PM2.5","North Birmingham","01-073-0023","AQS","6","32","13","42","15"
"01/06/2025","40","PM2.5","North Birmingham","01-073-0023","AQS","2","27","9","40","5"
"01/07/2025","52","PM2.5","North Birmingham","01-073-0023","AQS","3","29","11","52","8"
"01/08/2025","60","PM2.5","North Birmingham","01-073-0023","AQS","3","30","15","60","10"
"01/09/2025","60","PM2.5","North Birmingham","01-073-0023","AQS","3","31","19","60","23"
"01/10/2025","47","PM2.5","North Birmingham","01-073-0023","AQS","3","31","11","47","16"
"01/11/2025","52","PM2.5","North Birmingham","01-073-0023","AQS","8","33","14","52","29"
"01/12/2025","67","PM2.5","North Birmingham","01-073-0023","AQS","9","30","22","67","31"
"01/13/2025","55","PM2.5","North Birmingham","01-073-0023","AQS","8","32","17","55","28"
"01/14/2025","45","PM2.5","North Birmingham","01-073-0023","AQS","10","32","14","45","33"
"01/15/2025","77","PM2.5","North Birmingham","01-073-0023","AQS","11","28","40","77","36"
"01/16/2025","68","PM2.5","North Birmingham","01-073-0023","AQS","11","38","31","68","38"
"01/17/2025","63","PM2.5","North Birmingham","01-073-0023","AQS","9","33","30","63","38"
"01/18/2025","64","PM2.5","North Birmingham","01-073-0023","AQS","2","30","51","64","15"
"01/19/2025","49","PM2.5","North Birmingham","01-073-0023","AQS","2","28","13","49","6"
"01/20/2025","19","PM2.5","McAdory","01-073-1005","AQS","2",".","5","19","8"
"01/21/2025","31","Ozone","North Birmingham","01-073-0023","AQS","2","31","7","27","16"
"01/22/2025","50","PM2.5","North Birmingham","01-073-0023","AQS","10","33","18","50","41"
"01/23/2025","69","PM2.5","North Birmingham","01-073-0023","AQS","10","31","38","69","37"
"01/24/2025","68","PM2.5","North Birmingham","01-073-0023","AQS","10","35","31","68","35"
"01/25/2025","70","PM2.5","North Birmingham","01-073-0023","AQS","13","35","30","70","42"
"01/26/2025","85","PM2.5","North Birmingham","01-073-0023","AQS","13","27","36","85","37"
"01/27/2025","54","PM2.5","North Birmingham","01-073-0023","AQS","6","25","15","54","27"
"01/28/2025","59","PM2.5","North Birmingham","01-073-0023","AQS","7","29","23","59","34"
"01/29/2025","77","PM2.5","North Birmingham","01-073-0023","AQS","8","31","47","77","31"
"01/30/2025","77","PM2.5","North Birmingham","01-073-0023","AQS","9","33","37","77","29"
"01/31/2025","31","Ozone","North Birmingham","01-073-0023","AQS","5","31","10","28","21"
"02/01/2025","55","PM2.5","McAdory","01-073-1005","AQS","10","33","27","55","38"
"02/02/2025","61","PM2.5","McAdory","01-073-1005","AQS","11","36","20","61","34"
"02/03/2025","62","PM2.5","North Birmingham","01-073-0023","AQS","11","40","33","62","34"
"02/04/2025","63","PM2.5","North Birmingham","01-073-0023","AQS","6","28","26","63","31"
"02/05/2025","63","PM2.5","North Birmingham","01-073-0023","AQS","7","19","33","63","22"
"02/06/2025","50","PM2.5","Wylam","01-073-2003","AQS","6","16","15","50","19"
"02/07/2025","60","PM2.5","McAdory","01-073-1005","AQS","6","20","18","60","27"
"02/08/2025","52","PM2.5","McAdory","01-073-1005","AQS","6","24","14","52","19"
"02/09/2025","51","PM2.5","McAdory","01-073-1005","AQS","3","19","14","51","5"
"02/10/2025","43","PM2.5","North Birmingham","01-073-0023","AQS","2","23","11","43","12"
"02/11/2025","58","PM2.5","McAdory","01-073-1005","AQS","3","16","24","58","13"
"02/12/2025","42","PM2.5","North Birmingham","01-073-0023","AQS","3","13","6","42","18"
"02/13/2025","42","PM2.5","North Birmingham","01-073-0023","AQS","2","22","10","42","17"
"02/14/2025","52","PM2.5","North Birmingham","01-073-0023","AQS","5","31","13","52","25"
"02/15/2025","52","PM2.5","North Birmingham","01-073-0023","AQS","3","30","26","52","8"
"02/16/2025","35","Ozone","North Birmingham","01-073-0023","AQS","2","35","7","32","4"
"02/17/2025","41","PM2.5","Leeds","01-073-1010","AQS","2","38","9","41","18"
"02/18/2025","53","PM2.5","McAdory","01-073-1005","AQS","3","37","16","53","32"
"02/19/2025","56","PM2.5","North Birmingham","01-073-0023","AQS","2","31","14","56","12"
"02/20/2025","45","PM2.5","North Birmingham","01-073-0023","AQS","2","36","10","45","8"
"02/21/2025","50","PM2.5","North Birmingham","01-073-0023","AQS","2","33","12","50","26"
"02/22/2025","66","PM2.5","McAdory","01-073-1005","AQS","7","32","21","66","30"
"02/23/2025","69","PM2.5","North Birmingham","01-073-0023","AQS","9","35","26","69","29"
"02/24/2025","67","PM2.5","McAdory","01-073-1005","AQS","8","41","24","67","39"
"02/25/2025","66","PM2.5","North Birmingham","01-073-0023","AQS","8","48","32","66","39"
"02/26/2025","85","PM2.5","North Birmingham","01-073-0023","AQS","9","58","45","85","45"
"02/27/2025","58","PM2.5","North Birmingham","01-073-0023","AQS","5","44","20","58","25"
"02/28/2025","58","PM2.5","North Birmingham","01-073-0023","AQS","7","46","31","58","36"
"03/01/2025","76","PM2.5","North Birmingham","01-073-0023","AQS","7","47","44","76","35"
"03/02/2025","41","Ozone","Leeds","01-073-1010","AirNow","2","41","9","30","34"
"03/03/2025","46","PM2.5","North Birmingham","01-073-0023","AQS","5","44","20","46","42"
"03/04/2025","64","PM2.5","North Birmingham","01-073-0023","AQS","3","46","58","64","13"
"03/05/2025","54","PM2.5","Tarrant Elementary School","01-073-6002","AQS","2","38","25","54","8"
"03/06/2025","41","Ozone","Leeds","01-073-1010","AirNow","5","41","15","40","35"
"03/07/2025","65","PM2.5","North Birmingham","01-073-0023","AQS","6","47","31","65","30"
"03/08/2025","52","PM2.5","North Birmingham","01-073-0023","AQS","3","44","21","52","17"
"03/09/2025","39","PM2.5","North Birmingham","01-073-0023","AQS","2","35","11","39","13"
"03/10/2025","88","PM2.5","North Birmingham","01-073-0023","AQS","7","45","33","88","45"
"03/11/2025","68","PM2.5","North Birmingham","01-073-0023","AQS","7","54","31","68","34"
"03/12/2025","77","PM2.5","North Birmingham","01-073-0023","AQS","8","74","44","77","32"
"03/13/2025","56","PM2.5","North Birmingham","01-073-0023","AQS","5","45","22","56","29"
"03/14/2025","63","PM2.5","North Birmingham","01-073-0023","AQS","5","42","40","63","11"
"03/15/2025","52","PM2.5","North Birmingham","01-073-0023","AQS","3","37","25","52","3"
"03/16/2025","59","PM2.5","North Birmingham","01-073-0023","AQS","3","40","34","59","9"
"03/17/2025","46","PM2.5","Tarrant Elementary School","01-073-6002","AQS","8","42","11","46","38"
"03/18/2025","73","PM2.5","North Birmingham","01-073-0023","AQS","9","54","39","73","28"
