"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"02/20/2025","39","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","14","1"
"02/21/2025","41","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","41","9","2"
"02/22/2025","40","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","40","39","3"
"02/23/2025","60","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","40","60","7"
"02/24/2025","43","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","42","43","5"
"02/25/2025","39","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","18","3"
"02/26/2025","40","Ozone","Hoxeyville","26-165-9991","AQS","40","19","1"
"02/27/2025","34","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","34","22","2"
"02/28/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","8","3"
"03/01/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","16","0"
"03/02/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","18","0"
"03/03/2025","39","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","34","4"
"03/04/2025","38","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","36","38","4"
"03/05/2025","37","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","24","2"
"03/06/2025","42","Ozone","Hoxeyville","26-165-9991","AQS","42","18","0"
"03/07/2025","42","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","42","18","0"
"03/08/2025","42","Ozone","Hoxeyville","26-165-9991","AQS","42","16","1"
"03/09/2025","42","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","42","27","2"
"03/10/2025","43","Ozone","Hoxeyville","26-165-9991","AQS","43","30","4"
"03/11/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","23","3"
"03/12/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","15","1"
"03/13/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","26","2"
"03/14/2025","67","Ozone","Hoxeyville","26-165-9991","AQS","67","53","3"
"03/15/2025","92","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","41","92","3"
"03/16/2025","31","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","23","1"
"03/17/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","24","1"
"03/18/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","33","2"
"03/19/2025","42","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","42","2"
"03/20/2025","37","Ozone","Hoxeyville","26-165-9991","AQS","37","21","1"
"03/21/2025","42","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","42","32","2"
"03/22/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","26","1"
"03/23/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","31","1"
"03/24/2025","27","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","19","1"
"03/25/2025","33","Ozone","Hoxeyville","26-165-9991","AQS","33","21","0"
"03/26/2025","41","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","41","21","0"
"03/27/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","28","3"
"03/28/2025","38","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","33","38","3"
"03/29/2025","31","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","17","1"
"03/30/2025","32","Ozone","Hoxeyville","26-165-9991","AQS","32","18","0"
"03/31/2025","40","Ozone","Hoxeyville","26-165-9991","AQS","40","22","0"
"04/01/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","20","0"
"04/02/2025","37","Ozone","Hoxeyville","26-165-9991","AQS","37","25","2"
"04/03/2025","34","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","34","27","2"
"04/04/2025","43","Ozone","Hoxeyville","26-165-9991","AQS","43","19","1"
"04/05/2025","40","Ozone","Hoxeyville","26-165-9991","AQS","40","27","0"
"04/06/2025","47","Ozone","Hoxeyville","26-165-9991","AQS","47","27","0"
"04/07/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","28","1"
"04/08/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","26","0"
"04/09/2025","45","Ozone","Hoxeyville","26-165-9991","AQS","45","37","1"
"04/10/2025","49","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","45","49","2"
"04/11/2025","48","Ozone","Hoxeyville","26-165-9991","AQS","48","41","2"
"04/12/2025","48","Ozone","Hoxeyville","26-165-9991","AQS","48","30","0"
"04/13/2025","50","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","50","42","1"
"04/14/2025","40","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","40","39","2"
"04/15/2025","59","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","59","0"
"04/16/2025","42","Ozone","Hoxeyville","26-165-9991","AQS","42","21","0"
"04/17/2025","51","Ozone","Hoxeyville","26-165-9991","AQS","51","32","2"
"04/18/2025","50","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","36","50","2"
"04/19/2025","32","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","32","2"
"04/20/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","18","0"
"04/21/2025","39","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","25","1"
"04/22/2025","44","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","21","1"
"04/23/2025","48","Ozone","Hoxeyville","26-165-9991","AQS","48",".","2"
"04/24/2025","47","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","47",".","2"
"04/25/2025","41","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","41",".","1"
"04/26/2025","39","Ozone","Hoxeyville","26-165-9991","AQS","39",".","0"
"04/27/2025","46","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","46",".","1"
"04/28/2025","64","Ozone","Hoxeyville","26-165-9991","AQS","64",".","1"
"04/29/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44",".","1"
"04/30/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","16","1"
"05/01/2025","36","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","36","34","2"
"05/02/2025","40","Ozone","Hoxeyville","26-165-9991","AQS","40","22","1"
"05/03/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","23","1"
"05/04/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","29","1"
"05/05/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","19","0"
"05/06/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","27","4"
"05/07/2025","33","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","33","20","1"
"05/08/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","7","0"
"05/09/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","4","1"
"05/10/2025","41","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","41","10","1"
"05/11/2025","54","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","54","7","1"
"05/12/2025","93","Ozone","Hoxeyville","26-165-9991","AQS","93","21","2"
"05/13/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","23","."
"05/14/2025","30","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","30","11","."
"05/15/2025","58","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","58","18","."
"05/16/2025","80","Ozone","Hoxeyville","26-165-9991","AQS","80","11","."
"05/17/2025","31","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","14","."
"05/18/2025","21","Ozone","Hoxeyville","26-165-9991","AQS","21","3","."
"05/19/2025","31","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","6","."
"05/20/2025","33","Ozone","Hoxeyville","26-165-9991","AQS","33","0","."
"05/21/2025","27","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","4","."
"05/22/2025","27","Ozone","Hoxeyville","26-165-9991","AQS","27","4","."
"05/23/2025","19","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","19","1","."
"05/24/2025","31","Ozone","Hoxeyville","26-165-9991","AQS","31","1","."
"05/25/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","3","."
"05/26/2025","39","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","8","."
"05/27/2025","46","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","46","14","."
"05/28/2025","48","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","48","16","."
"05/29/2025","44","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","9","."
"05/30/2025","52","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","42","52","."
"05/31/2025","39","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","9","."
"06/01/2025","40","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","40","3","."
"06/02/2025","71","Ozone","Hoxeyville","26-165-9991","AQS","71","21","."
"06/03/2025","77","Ozone","Hoxeyville","26-165-9991","AQS","77","52","."
"06/04/2025","80","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","80","."
"06/05/2025","76","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","58","76","."
"06/06/2025","64","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","58","64","."
"06/07/2025","66","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","61","66","1"
"06/08/2025","74","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","74","73","2"
"06/09/2025","52","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","52","1"
"06/10/2025","34","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","34","1"
"06/11/2025","93","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","93",".","2"
"06/12/2025","37","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","37",".","."
"06/13/2025","31","Ozone","Hoxeyville","26-165-9991","AQS","31","14","1"
"06/14/2025","40","Ozone","Hoxeyville","26-165-9991","AQS","40","23","0"
"06/15/2025","40","Ozone","Hoxeyville","26-165-9991","AQS","40","30","2"
"06/16/2025","64","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","64","42","3"
"06/17/2025","64","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","64","32","2"
"06/18/2025","31","Ozone","Hoxeyville","26-165-9991","AQS","31",".","."
"06/19/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","14","1"
"06/20/2025","49","Ozone","Hoxeyville","26-165-9991","AQS","49","23","1"
"06/21/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44",".","."
"06/22/2025","44","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","44","29","1"
"06/23/2025","58","Ozone","Hoxeyville","26-165-9991","AQS","58","53","1"
"06/24/2025","37","Ozone","Hoxeyville","26-165-9991","AQS","37","10","1"
"06/25/2025","42","Ozone","Hoxeyville","26-165-9991","AQS","42","33","2"
"06/26/2025","28","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","28","28","1"
"06/27/2025","41","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","41","9","1"
"06/28/2025","41","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","41","6","1"
"06/29/2025","50","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","50","21","1"
"06/30/2025","48","Ozone","Hoxeyville","26-165-9991","AQS","48","14","2"
"07/01/2025","38","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","38","9","1"
"07/02/2025","53","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","41","53","2"
"07/03/2025","52","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","40","52","2"
"07/04/2025","48","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","48","28","2"
"07/05/2025","84","Ozone","Hoxeyville","26-165-9991","AQS","84","51","1"
"07/06/2025","36","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","36","19","2"
"07/07/2025","47","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","47","2"
"07/08/2025","46","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","38","46","2"
"07/09/2025","46","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","40","46","2"
"07/10/2025","33","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","33","1"
"07/11/2025","39","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","39","17","1"
"07/12/2025","41","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AirNow","41","15","1"
"07/13/2025","83","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","41","83","1"
"07/14/2025","68","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","49","68","1"
"07/15/2025","77","Ozone","Hoxeyville","26-165-9991","AQS","77","62","3"
"07/16/2025","46","Ozone","Hoxeyville","26-165-9991","AQS","46",".","."
"07/17/2025","26","Ozone","Hoxeyville","26-165-9991","AQS","26",".","."
"07/18/2025","35","Ozone","Hoxeyville","26-165-9991","AQS","35","16","1"
"07/19/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","25","1"
"07/20/2025","76","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","76","1"
"07/21/2025","38","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","29","38","1"
"07/22/2025","44","Ozone","Hoxeyville","26-165-9991","AQS","44","35","1"
"07/23/2025","50","Ozone","Hoxeyville","26-165-9991","AQS","50","32","1"
"07/24/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","31","1"
"07/25/2025","74","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","39","74","1"
"07/26/2025","67","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","38","67","1"
"07/27/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","30","1"
"07/28/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","25","1"
"07/29/2025","39","Ozone","Hoxeyville","26-165-9991","AQS","39","28","1"
"07/30/2025","87","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","87","1"
"07/31/2025","133","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","33","133","2"
"08/01/2025","73","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","34","73","."
"08/02/2025","108","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","108","."
"08/03/2025","130","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","47","130","."
"08/04/2025","113","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","49","113","."
"08/05/2025","85","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","85","."
"08/06/2025","63","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","58","63","."
"08/07/2025","80","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","80","55","."
"08/08/2025","49","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","48","49","."
"08/09/2025","52","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","49","52","."
"08/10/2025","44","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","32","."
"08/11/2025","42","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","42","34","."
"08/12/2025","35","Ozone","Hoxeyville","26-165-9991","AQS","35","17","."
"08/13/2025","56","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","29","56","."
"08/14/2025","68","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","32","68","."
"08/15/2025","61","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","48","61","."
"08/16/2025","47","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","43","47","."
"08/17/2025","26","Ozone","Hoxeyville","26-165-9991","AQS","26","19","."
"08/18/2025","22","Ozone","Hoxeyville","26-165-9991","AQS","22","11","."
"08/19/2025","21","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","21","9","."
"08/20/2025","34","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","34","20","."
"08/21/2025","29","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","29","17","."
"08/22/2025","33","Ozone","Hoxeyville","26-165-9991","AQS","33","21","."
"08/23/2025","27","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","23","."
"08/24/2025","20","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","20","14","."
"08/25/2025","23","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","23","19","."
"08/26/2025","28","Ozone","Hoxeyville","26-165-9991","AQS","28","18","."
"08/27/2025","33","Ozone","Hoxeyville","26-165-9991","AQS","33","18","."
"08/28/2025","27","Ozone","Hoxeyville","26-165-9991","AQS","27","18","."
"08/29/2025","23","Ozone","Hoxeyville","26-165-9991","AQS","23","13","."
"08/30/2025","29","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","29","16","."
"08/31/2025","29","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","29","18","."
"09/01/2025","33","Ozone","Hoxeyville","26-165-9991","AirNow","33","20","."
"09/02/2025","38","Ozone","Hoxeyville","26-165-9991","AirNow","38","30","."
"09/03/2025","33","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","33","24","."
"09/04/2025","29","Ozone","Hoxeyville","26-165-9991","AirNow","29","14","."
"09/05/2025","28","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","25","28","."
"09/06/2025","22","Ozone","Hoxeyville","26-165-9991","AirNow","22","11","."
"09/07/2025","23","Ozone","Hoxeyville","26-165-9991","AirNow","23","6","."
"09/08/2025","30","Ozone","Hoxeyville","26-165-9991","AirNow","30","11","."
"09/09/2025","38","Ozone","Hoxeyville","26-165-9991","AirNow","38","10","."
"09/10/2025","45","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","45","23","."
"09/11/2025","45","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","45","27","."
"09/12/2025","48","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","48","32","."
"09/13/2025","58","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","58","38","."
"09/14/2025","61","Ozone","Hoxeyville","26-165-9991","AirNow","61","43","."
"09/15/2025","43","Ozone","Hoxeyville","26-165-9991","AirNow","43","35","."
"09/16/2025","42","Ozone","Hoxeyville","26-165-9991","AirNow","42","30","."
"09/17/2025","47","Ozone","Hoxeyville","26-165-9991","AirNow","47","35","."
"09/18/2025","44","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","44","36","."
"09/19/2025","24","Ozone","Hoxeyville","26-165-9991","AirNow","24","14","."
"09/20/2025","38","Ozone","Hoxeyville","26-165-9991","AirNow","38","14","."
"09/21/2025","33","Ozone","Hoxeyville","26-165-9991","AirNow","33","18","."
"09/22/2025","34","Ozone","Hoxeyville","26-165-9991","AirNow","34","26","."
"09/23/2025","32","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","32","6","."
"09/24/2025","30","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","30","8","."
