"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25","NO2"
"01/01/2025","27","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","9","0"
"01/02/2025","25","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","25","14","0"
"01/03/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","10","0"
"01/04/2025","36","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","36","7","0"
"01/05/2025","36","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","36","8","0"
"01/06/2025","37","Ozone","Hoxeyville","26-165-9991","AQS","37","12","1"
"01/07/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","6","0"
"01/08/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","14","0"
"01/09/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","26","2"
"01/10/2025","63","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","25","63","8"
"01/11/2025","44","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","44","7"
"01/12/2025","48","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","48","5"
"01/13/2025","33","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","33","18","2"
"01/14/2025","31","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","31","21","1"
"01/15/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","20","8"
"01/16/2025","41","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","34","41","6"
"01/17/2025","37","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","20","4"
"01/18/2025","37","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","15","3"
"01/19/2025","37","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","12","0"
"01/20/2025","34","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","34","21","1"
"01/21/2025","33","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","33","25","2"
"01/22/2025","39","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","27","39","5"
"01/23/2025","35","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","34","35","5"
"01/24/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","20","6"
"01/25/2025","36","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","36","5"
"01/26/2025","37","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","7","1"
"01/27/2025","37","Ozone","Hoxeyville","26-165-9991","AQS","37",".","."
"01/28/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","6","5"
"01/29/2025","36","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","36","11","1"
"01/30/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","27","5"
"01/31/2025","39","Ozone","Hoxeyville","26-165-9991","AQS","39","34","4"
"02/01/2025","39","Ozone","Hoxeyville","26-165-9991","AQS","39","11","0"
"02/02/2025","36","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","32","36","3"
"02/03/2025","35","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","35","3"
"02/04/2025","33","Ozone","Hoxeyville","26-165-9991","AQS","33","14","0"
"02/05/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","11","1"
"02/06/2025","36","Ozone","Hoxeyville","26-165-9991","AQS","36","26","3"
"02/07/2025","37","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","37","26","1"
"02/08/2025","35","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","35","27","1"
"02/09/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","19","1"
"02/10/2025","41","Ozone","Hoxeyville","26-165-9991","AQS","41","31","1"
"02/11/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","23","1"
"02/12/2025","38","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","38","32","4"
"02/13/2025","38","Ozone","Hoxeyville","26-165-9991","AQS","38","17","1"
"02/14/2025","39","Ozone","Hoxeyville","26-165-9991","AQS","39","37","3"
"02/15/2025","49","PM2.5","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","38","49","5"
"02/16/2025","39","Ozone","Hoxeyville","26-165-9991","AQS","39","16","1"
"02/17/2025","32","Ozone","Hoxeyville","26-165-9991","AQS","32","15","0"
"02/18/2025","33","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","33","14","0"
"02/19/2025","32","Ozone","LOCATED ABOUT 1/4 MILE WEST OF SITE","26-113-0001","AQS","32","4","0"
