"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","PM25"
"01/01/2025","24","PM2.5","Albany","13-095-0007","AQS","24"
"01/02/2025","37","PM2.5","Albany","13-095-0007","AQS","37"
"01/03/2025","52","PM2.5","Albany","13-095-0007","AQS","52"
"01/04/2025","54","PM2.5","Albany","13-095-0007","AQS","54"
"01/05/2025","65","PM2.5","Albany","13-095-0007","AQS","65"
"01/06/2025","24","PM2.5","Albany","13-095-0007","AQS","24"
"01/07/2025","47","PM2.5","Albany","13-095-0007","AQS","47"
"01/08/2025","46","PM2.5","Albany","13-095-0007","AQS","46"
"01/09/2025","46","PM2.5","Albany","13-095-0007","AQS","46"
"01/10/2025","69","PM2.5","Albany","13-095-0007","AQS","69"
"01/11/2025","32","PM2.5","Albany","13-095-0007","AQS","32"
"01/12/2025","58","PM2.5","Albany","13-095-0007","AQS","58"
"01/13/2025","45","PM2.5","Albany","13-095-0007","AQS","45"
"01/14/2025","42","PM2.5","Albany","13-095-0007","AQS","42"
"01/15/2025","43","PM2.5","Albany","13-095-0007","AQS","43"
"01/16/2025","55","PM2.5","Albany","13-095-0007","AQS","55"
"01/17/2025","73","PM2.5","Albany","13-095-0007","AQS","73"
"01/18/2025","37","PM2.5","Albany","13-095-0007","AQS","37"
"01/19/2025","35","PM2.5","Albany","13-095-0007","AQS","35"
"01/20/2025","20","PM2.5","Albany","13-095-0007","AQS","20"
"01/21/2025","37","PM2.5","Albany","13-095-0007","AQS","37"
"01/22/2025","46","PM2.5","Albany","13-095-0007","AQS","46"
"01/23/2025","47","PM2.5","Albany","13-095-0007","AQS","47"
"01/24/2025","51","PM2.5","Albany","13-095-0007","AQS","51"
"01/25/2025","60","PM2.5","Albany","13-095-0007","AQS","60"
"01/26/2025","66","PM2.5","Albany","13-095-0007","AQS","66"
"01/27/2025","44","PM2.5","Albany","13-095-0007","AQS","44"
"01/28/2025","35","PM2.5","Albany","13-095-0007","AQS","35"
"01/29/2025","52","PM2.5","Albany","13-095-0007","AQS","52"
"01/30/2025","64","PM2.5","Albany","13-095-0007","AQS","64"
"01/31/2025","53","PM2.5","Albany","13-095-0007","AQS","53"
"02/01/2025","54","PM2.5","Albany","13-095-0007","AQS","54"
"02/02/2025","47","PM2.5","Albany","13-095-0007","AQS","47"
"02/03/2025","52","PM2.5","Albany","13-095-0007","AQS","52"
"02/04/2025","54","PM2.5","Albany","13-095-0007","AQS","54"
"02/05/2025","67","PM2.5","Albany","13-095-0007","AQS","67"
"02/06/2025","56","PM2.5","Albany","13-095-0007","AQS","56"
"02/07/2025","46","PM2.5","Albany","13-095-0007","AQS","46"
"02/08/2025","48","PM2.5","Albany","13-095-0007","AQS","48"
