"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2025","67","PM2.5","NORTH VALLEY","35-001-1013","AQS","8","42","53","67","40"
"01/02/2025","71","PM2.5","SOUTH VALLEY","35-001-0029","AQS","11","42","68","71","44"
"01/03/2025","84","PM10","SOUTH VALLEY","35-001-0029","AQS","13","40","84","74","39"
"01/04/2025","93","PM10","SOUTH VALLEY","35-001-0029","AQS","15","43","93","72","35"
"01/05/2025","41","Ozone","DEL NORTE HIGH SCHOOL","35-001-0023","AQS","1","41","14","17","20"
"01/06/2025","107","PM10","SOUTH VALLEY","35-001-0029","AQS","7","38","107","96","40"
"01/07/2025","127","PM2.5","SOUTH VALLEY","35-001-0029","AQS","6","35","105","127","26"
"01/08/2025","56","PM2.5","NORTH VALLEY","35-001-1013","AQS","3","33","30","56","24"
"01/09/2025","52","PM2.5","San Jose","35-001-2022","AQS","3","32","25","52","29"
"01/10/2025","64","PM2.5","NORTH VALLEY","35-001-1013","AQS","5","37","35","64","37"
"01/11/2025","58","PM2.5","JEFFERSON","35-001-0026","AQS","6","38","46","58","39"
"01/12/2025","38","Ozone","DEL NORTE HIGH SCHOOL","35-001-0023","AQS","5","38","17","29","31"
"01/13/2025","58","PM2.5","San Jose","35-001-2022","AQS","7","26","28","58","33"
"01/14/2025","52","PM2.5","NORTH VALLEY","35-001-1013","AQS","8","36","28","52","27"
"01/15/2025","58","PM2.5","San Jose","35-001-2022","AQS","9","35","41","58","38"
"01/16/2025","67","PM2.5","San Jose","35-001-2022","AQS","10","36","56","67","42"
"01/17/2025","68","PM2.5","NORTH VALLEY","35-001-1013","AQS","11","41","53","68","40"
"01/18/2025","61","PM10","SOUTH VALLEY","35-001-0029","AQS","6","42","61","38","25"
"01/19/2025","51","PM2.5","SOUTH VALLEY","35-001-0029","AQS","5","40","30","51","32"
