"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2022","53","PM2.5","MORRISANIA","36-005-0080","AQS","8","29",".","53","28"
"01/02/2022","52","PM2.5","Queens College Near Road","36-081-0125","AQS","8","33","6","52","21"
"01/03/2022","46","PM2.5","Intermediate School 143","36-061-0115","AQS","8","33",".","46","20"
"01/04/2022","54","PM2.5","Intermediate School 143","36-061-0115","AQS","9","32",".","54","40"
"01/05/2022","69","PM2.5","NEWBURGH","36-071-0002","AQS","9","27","14","69","49"
"01/06/2022","61","PM2.5","Intermediate School 143","36-061-0115","AQS","7","29",".","61","31"
"01/07/2022","60","PM2.5","Intermediate School 143","36-061-0115","AQS","5","31",".","60","24"
"01/08/2022","58","PM2.5","HOLTSVILLE","36-103-0009","AQS","7","35","15","58","43"
"01/09/2022","60","PM2.5","Flemington","34-019-0001","AQS","7","33",".","60","28"
"01/10/2022","57","PM2.5","Intermediate School 143","36-061-0115","AQS","6","38",".","57","22"
"01/11/2022","62","PM2.5","Intermediate School 143","36-061-0115","AQS","5","33","14","62","37"
"01/12/2022","61","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","31",".","61","43"
"01/13/2022","79","PM2.5","Jersey City Firehouse","34-017-1003","AQS","18","26",".","79","69"
"01/14/2022","63","PM2.5","Jersey City Firehouse","34-017-1003","AQS","11","32","22","63","41"
"01/15/2022","55","PM2.5","Intermediate School 143","36-061-0115","AQS","6","33",".","55","22"
"01/16/2022","53","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","39",".","53","37"
"01/17/2022","48","PM2.5","Intermediate School 143","36-061-0115","AQS","7","39","7","48","29"
"01/18/2022","63","PM2.5","Intermediate School 143","36-061-0115","AQS","6","39",".","63","41"
"01/19/2022","57","PM2.5","Intermediate School 143","36-061-0115","AQS","9","34",".","57","46"
"01/20/2022","58","PM2.5","Intermediate School 143","36-061-0115","AQS","9","37","13","58","34"
"01/21/2022","52","PM2.5","NEWBURGH","36-071-0002","AQS","13","34",".","52","29"
"01/22/2022","56","PM2.5","NEWBURGH","36-071-0002","AQS","14","34",".","56","42"
"01/23/2022","67","PM2.5","Elizabeth Lab","34-039-0004","AQS","13","33","19","67","34"
"01/24/2022","73","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","8","37",".","73","37"
"01/25/2022","87","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","36",".","87","40"
"01/26/2022","52","PM2.5","Intermediate School 143","36-061-0115","AQS","7","38","7","52","38"
