"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"11/14/2023","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","29","13","53","35"
"11/15/2023","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","22",".","52","36"
"11/16/2023","68","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","10","41",".","68","55"
"11/17/2023","65","PM2.5","Paterson","34-031-0005","AQS","15","37",".","65","50"
"11/18/2023","41","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","30",".","41","35"
"11/19/2023","57","PM2.5","Rutgers University","34-023-0011","AQS","6","32",".","57","38"
"11/20/2023","41","PM2.5","Rutgers University","34-023-0011","AQS","6","31","7","41","37"
"11/21/2023","44","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","33","7","44","38"
"11/22/2023","44","PM2.5","Rutgers University","34-023-0011","AQS","6","33",".","44","32"
"11/23/2023","41","PM2.5","Rutgers University","34-023-0011","AQS","6","29",".","41","29"
"11/24/2023","53","PM2.5","Rutgers University","34-023-0011","AQS","5","33",".","53","25"
"11/25/2023","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","33",".","52","50"
"11/26/2023","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","14","35","14","62","50"
"11/27/2023","46","PM2.5","Flemington","34-019-0001","AQS","6","27",".","46","34"
"11/28/2023","48","PM2.5","Flemington","34-019-0001","AQS","3","31",".","48","27"
"11/29/2023","48","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","28",".","48","29"
"11/30/2023","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","31",".","62","40"
"12/01/2023","78","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","29",".","78","54"
"12/02/2023","87","PM2.5","QUEENS COLLEGE 2","36-081-0124","AQS","13","24","25","87","39"
"12/03/2023","66","PM2.5","Rahway","34-039-2003","AQS","13","29",".","66","32"
"12/04/2023","43","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","25",".","43","34"
