"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2021","61","PM2.5","NEWBURGH","36-071-0002","AQS","8","29","12","61","34"
"01/02/2021","52","PM2.5","CCNY","36-061-0135","AQS","7","31",".","52","26"
"01/03/2021","53","PM2.5","Queens College Near Road","36-081-0125","AQS","8","28",".","53","32"
"01/04/2021","54","PM2.5","NEWBURGH","36-071-0002","AQS","7","25","11","54","27"
"01/05/2021","52","PM2.5","Queens College Near Road","36-081-0125","AQS","10","28",".","52","33"
"01/06/2021","55","PM2.5","CCNY","36-061-0135","AQS","6","31",".","55","30"
"01/07/2021","51","PM2.5","CCNY","36-061-0135","AQS","5","33","5","51","32"
"01/08/2021","52","PM2.5","PS 314","36-047-0052","AQS","7","28",".","52","29"
"01/09/2021","48","PM2.5","RICHMOND POST OFFICE","36-085-0055","AQS","6","37",".","48","36"
"01/10/2021","55","PM2.5","HOLTSVILLE","36-103-0009","AQS","7","33","8","55","38"
"01/11/2021","64","PM2.5","Jersey City Firehouse","34-017-1003","AQS","11","25",".","64","47"
"01/12/2021","81","PM2.5","IS 52","36-005-0110","AQS","13","28",".","81","51"
"01/13/2021","80","PM2.5","IS 52","36-005-0110","AQS","13","21","27","80","46"
"01/14/2021","87","PM2.5","Elizabeth Lab","34-039-0004","AQS","18","27",".","87","67"
"01/15/2021","78","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","31",".","78","40"
"01/16/2021","44","PM2.5","Jersey City Firehouse","34-017-1003","AQS","5","29","7","44","26"
"01/17/2021","53","PM2.5","IS 74","36-005-0112","AQS","5","29",".","53","19"
"01/18/2021","53","PM2.5","Intermediate School 143","36-061-0115","AQS","6","29",".","53","29"
"01/19/2021","56","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","28","11","56","34"
"01/20/2021","52","PM2.5","Rutgers University","34-023-0011","AQS","8","33",".","52","41"
"01/21/2021","72","NO2","Fort Lee Near Road","34-003-0010","AQS","16","26",".","55","72"
"01/22/2021","56","PM2.5","Elizabeth Lab","34-039-0004","AQS","16","32","18","56","40"
"01/23/2021","45","PM2.5","PS 314","36-047-0052","AQS","3","34",".","45","15"
"01/24/2021","42","PM2.5","PS 314","36-047-0052","AQS","3","37",".","42","19"
"01/25/2021","50","PM2.5","Intermediate School 143","36-061-0115","AQS","6","35","7","50","42"
"01/26/2021","54","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","31",".","54","42"
"01/27/2021","55","PM2.5","IS 52","36-005-0110","AQS","6","35",".","55","32"
"01/28/2021","44","PM2.5","Queens College Near Road","36-081-0125","AQS","5","36","15","44","27"
"01/29/2021","56","PM2.5","MORRISANIA","36-005-0080","AQS","3","37",".","56","18"
"01/30/2021","52","PM2.5","MORRISANIA","36-005-0080","AQS","6","37",".","52","23"
"01/31/2021","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","33","11","53","39"
"02/01/2021","37","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","36",".","37","31"
"02/02/2021","35","Ozone","MT NINHAM","36-079-0005","AQS","5","35",".","33","20"
"02/03/2021","48","NO2","Fort Lee Near Road","34-003-0010","AQS","6","39","5","43","48"
"02/04/2021","62","PM2.5","Intermediate School 143","36-061-0115","AQS","7","42",".","62","51"
"02/05/2021","60","PM2.5","Jersey City Firehouse","34-017-1003","AQS","6","37",".","60","52"
"02/06/2021","53","PM2.5","Newark Firehouse","34-013-0003","AQS","10","40","11","53","49"
"02/07/2021","76","NO2","Queens College Near Road","36-081-0125","AQS","17","38",".","58","76"
"02/08/2021","59","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","36",".","59","53"
"02/09/2021","72","PM2.5","Elizabeth Lab","34-039-0004","AQS","15","33","25","72","62"
"02/10/2021","63","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","39",".","63","44"
"02/11/2021","55","PM2.5","Newark Firehouse","34-013-0003","AQS","8","42",".","55","42"
"02/12/2021","47","PM2.5","Queens College Near Road","36-081-0125","AQS","10","37","14","47","46"
"02/13/2021","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","36",".","50","39"
"02/14/2021","58","PM2.5","Rutgers University","34-023-0011","AQS","10","37",".","58","28"
"02/15/2021","62","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","33","18","62","37"
"02/16/2021","51","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","33",".","51","43"
"02/17/2021","43","PM2.5","PS 314","36-047-0052","AQS","7","38",".","43","42"
"02/18/2021","48","PM2.5","Rutgers University","34-023-0011","AQS","7","34","9","48","38"
"02/19/2021","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","36",".","52","45"
"02/20/2021","57","PM2.5","Flemington","34-019-0001","AQS","6","45",".","57","36"
"02/21/2021","59","PM2.5","PFIZER LAB SITE","36-005-0133","AQS","7","44","14","59","46"
"02/22/2021","67","NO2","Elizabeth Lab","34-039-0004","AQS","9","39",".","62","67"
"02/23/2021","64","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","41",".","64","42"
"02/24/2021","52","PM2.5","IS 52","36-005-0110","AQS","6","44","13","52","44"
"02/25/2021","52","PM2.5","PS 314","36-047-0052","AQS","7","43",".","52","50"
"02/26/2021","47","NO2","Elizabeth Lab","34-039-0004","AQS","10","44",".","41","47"
"02/27/2021","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","41","7","52","40"
"02/28/2021","55","PM2.5","IS 52","36-005-0110","AQS","9","37",".","55","48"
"03/01/2021","42","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","40",".","42","42"
"03/02/2021","42","Ozone","MT NINHAM","36-079-0005","AQS","5","42","7","37","39"
"03/03/2021","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","43",".","60","50"
"03/04/2021","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","41",".","52","48"
"03/05/2021","43","Ozone","MT NINHAM","36-079-0005","AQS","3","43","6","32","37"
"03/06/2021","39","Ozone","MT NINHAM","36-079-0005","AQS","3","39",".","31","23"
"03/07/2021","41","Ozone","Flemington","34-019-0001","AQS","3","41",".","36","16"
"03/08/2021","47","PM2.5","Intermediate School 143","36-061-0115","AQS","5","47","8","47","46"
"03/09/2021","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","50",".","60","43"
"03/10/2021","59","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","43",".","59","53"
"03/11/2021","85","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","71","41","85","68"
