"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2020","48","PM2.5","Intermediate School 143","36-061-0115","AQS","5","30","4","48","33"
"01/02/2020","61","PM2.5","Intermediate School 143","36-061-0115","AQS","13","27",".","61","43"
"01/03/2020","72","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","19",".","72","36"
"01/04/2020","68","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","28","13","68","28"
"01/05/2020","49","PM2.5","CCNY","36-061-0135","AQS","6","33",".","49","28"
"01/06/2020","55","PM2.5","Intermediate School 143","36-061-0115","AQS","7","28",".","55","38"
"01/07/2020","75","PM2.5","RICHMOND POST OFFICE","36-085-0055","AQS","8","24","17","75","43"
"01/08/2020","55","PM2.5","Intermediate School 143","36-061-0115","AQS","7","33",".","55","33"
"01/09/2020","53","PM2.5","Intermediate School 143","36-061-0115","AQS","9","29",".","53","40"
"01/10/2020","56","PM2.5","Intermediate School 143","36-061-0115","AQS","10","28","21","56","41"
"01/11/2020","57","PM2.5","PS 274","36-047-0118","AQS","8","34",".","57","39"
"01/12/2020","52","PM2.5","Intermediate School 143","36-061-0115","AQS","5","32",".","52","21"
"01/13/2020","80","NO2","Jersey City","34-017-1002","AQS","10","21","23","57","80"
"01/14/2020","65","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","12",".","65","35"
"01/15/2020","66","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","28",".","66","45"
"01/16/2020","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","31","12","60","27"
"01/17/2020","49","PM2.5","Intermediate School 143","36-061-0115","AQS","3","37",".","49","20"
"01/18/2020","43","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","32",".","43","42"
"01/19/2020","52","PM2.5","Intermediate School 143","36-061-0115","AQS","9","34","6","52","22"
"01/20/2020","46","PM2.5","Queens College Near Road","36-081-0125","AQS","3","39",".","46","20"
"01/21/2020","54","PM2.5","NEWBURGH","36-071-0002","AQS","6","38",".","54","46"
"01/22/2020","61","PM2.5","EISENHOWER PARK","36-059-0005","AQS","13","31","28","61","61"
"01/23/2020","81","PM2.5","Jersey City Firehouse","34-017-1003","AQS","16","29",".","81","67"
"01/24/2020","88","PM2.5","Elizabeth Lab","34-039-0004","AQS","23","24",".","88","74"
"01/25/2020","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","33","11","56","37"
"01/26/2020","42","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","23",".","42","25"
"01/27/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","9","26",".","47","27"
"01/28/2020","41","PM2.5","Intermediate School 143","36-061-0115","AQS","5","36","5","41","31"
"01/29/2020","39","PM2.5","MORRISANIA","36-005-0080","AQS","5","37",".","39","33"
"01/30/2020","52","PM2.5","Queens College Near Road","36-081-0125","AQS","8","32",".","52","48"
"01/31/2020","62","PM2.5","NEWBURGH","36-071-0002","AQS","14","30","19","62","57"
"02/01/2020","74","PM2.5","IS 52","36-005-0110","AQS","9","29",".","74","46"
"02/02/2020","62","PM2.5","IS 52","36-005-0110","AQS","8","28",".","62","28"
"02/03/2020","59","PM2.5","Newark Firehouse","34-013-0003","AQS","13","34","19","59","51"
"02/04/2020","71","PM2.5","Fort Lee Near Road","34-003-0010","AQS","17","33",".","71","51"
"02/05/2020","41","PM2.5","Queens College Near Road","36-081-0125","AQS","14","33",".","41","35"
"02/06/2020","58","PM2.5","JHS 126","36-047-0122","AQS","11","29","9","58","42"
"02/07/2020","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","10","34",".","51","45"
"02/08/2020","55","PM2.5","Intermediate School 143","36-061-0115","AQS","6","35",".","55","42"
"02/09/2020","59","PM2.5","Newark Firehouse","34-013-0003","AQS","7","37","15","59","42"
"02/10/2020","54","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","35",".","54","36"
"02/11/2020","58","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","32",".","58","53"
"02/12/2020","54","PM2.5","IS 52","36-005-0110","AQS","6","36","9","54","30"
"02/13/2020","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","32",".","56","45"
"02/14/2020","45","PM2.5","Intermediate School 143","36-061-0115","AQS","5","34",".","45","30"
"02/15/2020","57","PM2.5","DIVISION STREET","36-061-0134","AQS","7","33","10","57","27"
"02/16/2020","58","PM2.5","Jersey City Firehouse","34-017-1003","AQS","13","31",".","58","50"
"02/17/2020","60","PM2.5","Newark Firehouse","34-013-0003","AQS","15","38",".","60","48"
"02/18/2020","60","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","35",".","60","52"
"02/19/2020","52","PM2.5","Newark Firehouse","34-013-0003","AQS","7","39",".","52","35"
"02/20/2020","41","PM2.5","Elizabeth Lab","34-039-0004","AQS","3","38",".","41","26"
"02/21/2020","52","PM2.5","DIVISION STREET","36-061-0134","AQS","7","39","10","52","34"
"02/22/2020","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","40",".","55","45"
"02/23/2020","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","44",".","60","51"
"02/24/2020","73","PM2.5","IS 52","36-005-0110","AQS","11","42","30","73","60"
"02/25/2020","67","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","31",".","67","44"
"02/26/2020","60","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","40",".","60","47"
"02/27/2020","44","PM2.5","DIVISION STREET","36-061-0134","AQS","5","39","6","44","30"
"02/28/2020","47","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","39",".","47","27"
"02/29/2020","41","PM2.5","Intermediate School 143","36-061-0115","AQS","5","36",".","41","16"
"03/01/2020","47","NO2","QUEENS COLLEGE 2","36-081-0124","AQS","6","41","6","42","47"
"03/02/2020","65","PM2.5","Newark Firehouse","34-013-0003","AQS","9","47",".","65","50"
"03/03/2020","62","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","41",".","62","57"
"03/04/2020","43","PM2.5","Paterson","34-031-0005","AQS","5","39","7","43","25"
"03/05/2020","47","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","37",".","47","37"
"03/06/2020","57","NO2","Queens College Near Road","36-081-0125","AQS","8","40",".","54","57"
"03/07/2020","40","Ozone","Chester","34-027-3001","AQS","6","40","5","32","21"
"03/08/2020","41","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","41",".","41","40"
"03/09/2020","56","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","48",".","56","42"
"03/10/2020","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","39","22","55","43"
"03/11/2020","45","NO2","Newark Firehouse","34-013-0003","AQS","7","37",".","39","45"
"03/12/2020","58","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","36",".","58","56"
"03/13/2020","55","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","42",".","55","44"
"03/14/2020","39","Ozone","Colliers Mills","34-029-0006","AQS","3","39",".","29","16"
"03/15/2020","41","Ozone","MILLBROOK","36-027-0007","AQS","3","41",".","33","28"
"03/16/2020","40","Ozone","Chester","34-027-3001","AQS","6","40","16","34","39"
"03/17/2020","52","PM2.5","Fort Lee Near Road","34-003-0010","AQS","8","36",".","52","34"
"03/18/2020","49","PM2.5","Fort Lee Near Road","34-003-0010","AQS","7","42",".","49","41"
"03/19/2020","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","36","6","52","42"
"03/20/2020","67","PM2.5","Fort Lee Near Road","34-003-0010","AQS","10","38",".","67","37"
"03/21/2020","41","Ozone","Leonia","34-003-0006","AQS","7","41",".","39","13"
"03/22/2020","43","PM2.5","Fort Lee Near Road","34-003-0010","AQS","6","41",".","43","18"
"03/23/2020","38","Ozone","RIVERHEAD","36-103-0004","AQS","8","38",".","29","38"
"03/24/2020","39","Ozone","BABYLON","36-103-0002","AQS","8","39",".","36","30"
"03/25/2020","42","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","39",".","42","35"
"03/26/2020","48","PM2.5","IS 52","36-005-0110","AQS","9","44",".","48","44"
"03/27/2020","46","NO2","Bayonne","34-017-0006","AQS","10","44",".","43","46"
"03/28/2020","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","42",".","51","34"
"03/29/2020","42","Ozone","RIVERHEAD","36-103-0004","AQS","9","42",".","31","16"
"03/30/2020","53","PM2.5","Elizabeth Lab","34-039-0004","AQS","11","37",".","53","36"
"03/31/2020","41","Ozone","RIVERHEAD","36-103-0004","AQS","7","41",".","31","28"
"04/01/2020","43","Ozone","MILLBROOK","36-027-0007","AQS","6","43",".","35","32"
"04/02/2020","41","Ozone","Flemington","34-019-0001","AQS","5","41",".","28","24"
"04/03/2020","36","Ozone","RIVERHEAD","36-103-0004","AQS","5","36",".","18","12"
"04/04/2020","40","Ozone","BABYLON","36-103-0002","AQS","7","40",".","26","20"
"04/05/2020","57","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","41",".","57","39"
"04/06/2020","48","PM2.5","Newark Firehouse","34-013-0003","AQS","9","43",".","48","34"
"04/07/2020","50","Ozone","Chester","34-027-3001","AQS","6","50",".","46","39"
"04/08/2020","56","PM2.5","IS 52","36-005-0110","AQS","6","44",".","56","31"
"04/09/2020","43","Ozone","Chester","34-027-3001","AQS","5","43",".","42","38"
"04/10/2020","38","Ozone","RIVERHEAD","36-103-0004","AQS","2","38",".","25","16"
"04/11/2020","43","Ozone","Leonia","34-003-0006","AQS","3","43",".","37","35"
"04/12/2020","54","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","47",".","54","45"
"04/13/2020","46","PM2.5","IS 52","36-005-0110","AQS","5","45",".","46","30"
"04/14/2020","43","Ozone","Chester","34-027-3001","AQS","5","43",".","29","22"
"04/15/2020","43","Ozone","Leonia","34-003-0006","AQS","2","43",".","36","23"
"04/16/2020","40","PM2.5","Elizabeth Lab","34-039-0004","AQS","3","40",".","40","28"
"04/17/2020","52","PM2.5","IS 52","36-005-0110","AQS","5","44",".","52","37"
"04/18/2020","53","PM2.5","Newark Firehouse","34-013-0003","AQS","6","44",".","53","31"
"04/19/2020","52","PM2.5","Flemington","34-019-0001","AQS","5","50",".","52","38"
"04/20/2020","43","Ozone","Chester","34-027-3001","AQS","6","43",".","36","42"
"04/21/2020","50","PM2.5","Elizabeth Lab","34-039-0004","AQS","5","41",".","50","42"
"04/22/2020","40","Ozone","Colliers Mills","34-029-0006","AQS","3","40",".","26","22"
"04/23/2020","52","PM2.5","IS 52","36-005-0110","AQS","5","40",".","52","31"
"04/24/2020","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","37",".","52","33"
"04/25/2020","56","PM2.5","Newark Firehouse","34-013-0003","AQS","10","45",".","56","38"
"04/26/2020","41","Ozone","RIVERHEAD","36-103-0004","AQS","5","41",".","36","19"
"04/27/2020","38","Ozone","VALLEY CENTRAL HIGH SCHOOL","36-071-5001","AQS","5","38",".","19","15"
"04/28/2020","44","Ozone","Flemington","34-019-0001","AQS","5","44",".","32","38"
"04/29/2020","55","PM2.5","Elizabeth Lab","34-039-0004","AQS","6","43",".","55","45"
"04/30/2020","52","PM2.5","Newark Firehouse","34-013-0003","AQS","3","47",".","52","25"
"05/01/2020","54","Ozone","RIVERHEAD","36-103-0004","AQS","5","54",".","37","50"
"05/02/2020","40","Ozone","Ramapo","34-031-5001","AQS","3","40",".","32","20"
"05/03/2020","52","PM2.5","Newark Firehouse","34-013-0003","AQS","3","50",".","52","28"
"05/04/2020","44","Ozone","Colliers Mills","34-029-0006","AQS","3","44",".","42","31"
"05/05/2020","46","Ozone","Chester","34-027-3001","AQS","5","46",".","26","42"
"05/06/2020","39","Ozone","Colliers Mills","34-029-0006","AQS","5","39",".","36","38"
"05/07/2020","45","Ozone","Chester","34-027-3001","AQS","5","45",".","33","36"
"05/08/2020","40","Ozone","RIVERHEAD","36-103-0004","AQS","5","40",".","31","29"
"05/09/2020","31","Ozone","Chester","34-027-3001","AQS","5","31",".","16","15"
"05/10/2020","46","Ozone","Chester","34-027-3001","AQS","3","46",".","41","17"
